District,Bank Name,Target,Addl Target,Total,Application Received,Sanctioned Number,Sanctioned Amt,Disbursed Number,Disbursed Amt,Pending Sanction (no.),Pending Disbursement(amt),Returned/Rejected,Proposal received,Sanctioned,Disbursed
Anjaw,CAN,12.0,33.0,45.0,25.0,5.0,,,,19.0,,1.0,,,
Changlang,BOI,17.0,13.0,17.0,1.0,1.0,,,,0.0,,0.0,,,
Dibang Valley,CBI,10.0,40.0,54.0,23.0,12.0,,,,10.0,,1.0,,,
East Kameng,SBI,33.0,169.0,342.0,244.0,17.0,,,,224.0,,3.0,,,
East Siang,ICICI,38.0,19.0,27.0,2.0,2.0,,,,0.0,,0.0,,,
Kra Daadi,VJB,25.0,16.0,30.0,11.0,2.0,,,,9.0,,0.0,,,
Kurung Kumey,PNB,22.0,7.0,9.0,4.0,2.0,,,,2.0,,0.0,,,
Lohit,BOM,12.0,5.0,6.0,1.0,2.0,,,,-1.0,,0.0,,,
Longding,BOB,12.0,4.0,5.0,4.0,4.0,,,,0.0,,0.0,,,
Lower Dibang Valley,HDFC,23.0,16.0,21.0,4.0,0.0,,,,4.0,,0.0,,,
Lower Subansiri,OBC,35.0,4.0,5.0,1.0,1.0,,,,0.0,,0.0,,,
Namsai,YES,25.0,2.0,3.0,0.0,0.0,,,,0.0,,0.0,,,
Papum Pare,UCO,122.0,5.0,6.0,4.0,4.0,,,,0.0,,0.0,,,
Siang,UNI,25.0,6.0,7.0,1.0,1.0,,,,0.0,,0.0,,,
Tawang,UBI,31.0,9.0,11.0,1.0,1.0,,,,0.0,,0.0,,,
Tirap,AXIS,14.0,5.0,9.0,3.0,0.0,,,,3.0,,0.0,,,
Upper Siang,IND,25.0,4.0,5.0,3.0,0.0,,,,3.0,,0.0,,,
Upper Subansiri,IOB,46.0,4.0,5.0,0.0,0.0,,,,0.0,,0.0,,,
West Kameng,SYN,50.0,4.0,5.0,4.0,4.0,,,,0.0,,0.0,,,
West Siang,IDBI,48.0,4.0,5.0,1.0,0.0,,,,1.0,,0.0,,,
