district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Anjaw,0.00,0,0.54,1,0.00,0,0.00,1.71,1
East Siang,16.70,20,6.01,24,4.96,19,15.95,31.09,54
Kra Daadi,19.00,19,0.05,2,0.00,0,0.00,15.70,19
Kurung Kumey,6.75,1,0.15,1,0.00,0,0.00,7.13,1
Leparada,6.38,11,0.00,0,0.00,0,0.00,0.00,0
Lohit,3.94,7,0.00,0,0.00,0,0.00,0.00,1
Lower Dibang Valley,25.02,37,0.00,0,0.00,0,0.00,3.00,3
Lower Subansiri,59.00,52,0.00,0,0.00,0,0.00,0.00,0
Namsai,19.45,35,0.00,0,0.00,0,0.00,2.00,2
Papum Pare,60.32,51,155.12,124,119.82,85,35.96,333.21,243
Siang,2.01,2,0.00,0,0.00,0,0.00,0.00,0
Upper Subansiri,28.35,52,0.61,1,0.00,0,0.00,0.61,1
West Kameng,2.36,4,0.00,0,0.00,0,0.00,0.00,0
West Siang,1.52,6,50.11,31,31.22,18,30.25,103.22,77
