district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Anjaw,117.75,968,773,683,1701,69,1583,1741,1741,0
Changlang,1337.42,24293,19992,12259,44299,3514,38015,43596,44285,696
Dibang Valley,94.26,246,294,273,386,42,259,509,540,31
East Kameng,557.99,8016,6750,3596,11414,1512,11213,0,14766,11089
East Siang,2386.85,28256,24739,13652,50034,5161,41216,26819,52995,24682
Kra Daadi,169.47,1878,1135,792,3786,26,2143,3014,3013,0
Kurung Kumey,270.28,2020,1931,1038,3434,698,1742,2836,3951,1117
Leparada,167.87,1472,1309,581,2163,423,1563,2248,2781,536
Lohit,572.46,6704,5281,5099,11130,1142,9071,3039,11985,8684
Longding,333.34,6753,3618,4460,10202,520,9309,10372,10371,0
Lower Dibang Valley,612.70,7686,6359,6430,13646,1034,10261,2033,14045,12014
Lower Siang,485.05,11006,9426,2009,16044,1007,15078,20437,20432,0
Lower Subansiri,1053.79,8168,7070,4580,13396,511,10040,5264,15238,7999
Namsai,1262.79,11432,10039,11999,21472,576,19247,5508,21471,15921
Papum Pare,45196.51,33539,28586,26340,57267,6411,44443,15609,62125,40447
Shi Yomi,6.02,156,172,49,49,145,49,328,328,0
Siang,351.17,2233,2464,1299,3825,147,3470,4699,4697,0
Tawang,482.46,2380,2831,2047,4143,341,2566,2313,5211,2098
Tirap,757.66,8926,6334,6862,15092,624,12862,15266,15260,0
Upper Siang,336.86,2165,1862,2424,2084,270,1753,3773,4027,254
Upper Subansiri,1538.75,11037,9882,5423,19180,2605,14872,3753,20919,17179
West Kameng,938.25,7972,7698,5399,13979,975,10070,14623,15670,54
West Siang,1185.81,8506,9711,6320,14418,1614,11440,3323,18217,13726
