district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Anjaw,18.20,4,29.03,8,515.23,125,1392.11,447
Changlang,168.29,50,547.77,219,2141.70,906,7023.78,2407
Dibang Valley,0.23,2,31.80,9,522.18,123,1471.01,480
East Kameng,4.86,4,47.21,10,1667.96,413,6126.03,2494
East Siang,308.33,68,1006.55,154,7106.26,1823,24702.26,7007
Kra Daadi,5.68,7,40.43,12,526.57,141,1367.08,301
Kurung Kumey,8.00,1,23.58,3,352.61,79,925.38,237
Leparada,10.40,2,21.24,6,1158.20,258,5213.63,1705
Lohit,69.56,25,165.09,58,3024.39,1214,8944.27,3820
Longding,1.56,3,18.07,9,248.98,65,521.39,111
Lower Dibang Valley,99.47,33,292.68,160,1651.97,498,4885.08,1931
Lower Siang,67.21,20,173.15,51,845.06,232,2581.56,724
Lower Subansiri,75.20,24,348.74,92,3905.51,975,17073.95,5584
Namsai,110.36,46,253.44,102,3514.42,963,9099.18,2581
Papum Pare,560.22,139,2598.14,757,30516.88,5545,144377.62,24929
Shi Yomi,0.00,0,0.00,0,22.46,14,330.50,165
Siang,16.78,6,39.50,8,531.58,127,1462.82,366
Tawang,59.20,17,137.50,59,1915.68,488,7161.33,1815
Tirap,28.11,10,133.92,29,1345.69,499,6037.29,2730
Upper Siang,30.23,7,95.65,23,994.03,240,3241.20,1141
Upper Subansiri,39.99,12,121.63,37,3387.27,929,13584.41,3586
West Kameng,149.78,44,348.17,105,3524.21,986,11484.80,3899
West Siang,66.63,13,292.92,70,5120.75,1107,19287.71,5283
