District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S Amt,of which girl student O/S Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,1,0,10.18,0,6,3,16.56,6.43,17,7,54.69,22.52
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0,0,0,2,1,10.2,3.54
East Siang,4,3,4.93,3.97,9,5,52.23,28.96,28,11,116.51,52.96
Kamle,0,0,0,0,0,0,0,0,2,1,11.85,5.85
Kra Daadi,0,0,0,0,0,0,0,0,0,0,0,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lohit,1,1,1.37,1.37,7,5,23.91,17.49,9,6,26.91,18.88
Longding,1,1,0.9,0.9,1,1,0.9,0.9,6,5,25.46,17.3
Lower Dibang Valley,1,0,1.75,0,2,1,7.41,5.66,4,2,14.95,9.44
Lower Subansiri,1,1,1.74,1.74,10,6,27.44,18.06,20,11,50,32.37
Namsai,1,0,0.5,0,1,1,6.7,6.7,8,4,27.71,12.85
Pakke Kessang,0,0,0,0,0,0,0,0,2,0,3.59,0
Papum Pare,22,2,60.44,1.59,40,18,101.08,43.38,173,78,551.46,236.65
Shi Yomi,0,0,0,0,0,0,0,0,0,0,0,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,2,1,6.43,5.57,3,1,13.1,5.57
Tirap,0,0,0,0,3,2,13.46,9.23,12,5,31.91,12.95
Upper Siang,0,0,0,0,0,0,0,0,3,1,9,0.51
Upper Subansiri,1,0,1.11,0,4,2,13.34,8.89,13,7,45.43,29.97
West Kameng,1,0,3.65,0,7,3,24.13,12.59,10,6,33,21.45
West Siang,2,0,2.3,0,9,4,29.349999999999998,13.68,30,15,78.65,43.4
