District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,0,0
Changlang,0,0,0,0,0,0
Dibang Valley,0,0,0,0,0,0
East Kameng,0,0,0,0,0,0
East Siang,0,0,1,14,54,69
Kamle,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0
Kurung Kumey,0,0,0,0,0,0
Lohit,0,0,0,2,0,2
Longding,0,0,0,0,0,0
Lower Dibang Valley,0,0,0,2,23,25
Lower Subansiri,1,0,0,3,4,8
Namsai,0,0,0,1,0,1
Pakke Kessang,0,0,0,0,0,0
Papum Pare,0,1,5,168,444,618
Shi Yomi,0,0,0,0,0,0
Siang,0,0,0,1,0,1
Tawang,0,0,0,1,12,13
Tirap,0,0,0,0,0,0
Upper Siang,0,0,0,0,0,0
Upper Subansiri,1,0,0,1,3,5
West Kameng,1,0,0,0,2,3
West Siang,0,0,0,9,20,29
