District,Sep - I,Sep-Group,SHG,Women SHG
Anjaw,2,1,0,0
Changlang,15,3,0,0
Dibang Valley,2,1,0,0
East Kameng,3,1,4,2
East Siang,10,2,0,2
Kamle,5,1,0,0
Kra Daadi,5,1,0,0
Kurung Kumey,5,1,0,0
Lohit,5,1,0,0
Longding,3,1,0,0
Lower Dibang Valley,5,1,0,0
Lower Subansiri,5,1,0,0
Namsai,5,1,0,0
Pakke Kessang,0,0,0,0
Papum Pare,35,15,4,5
Shi Yomi,0,0,0,0
Siang,5,2,0,0
Tawang,5,1,0,0
Tirap,10,2,1,0
Upper Siang,15,2,0,0
Upper Subansiri,15,2,1,0
West Kameng,10,2,0,0
West Siang,10,2,0,1
