district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,166,520.05,60,254.42
Changlang,1025,2829.15,564,1292.87
Dibang Valley,197,563.11,69,239.99
East Kameng,796,3083.54,307,1224.86
East Siang,4583,9120.09,1788,4294.83
Kamle,54.87,168.8193,15.75,53.093999999999994
Kra Daadi,226,612.43,127,306.73
Kurung Kumey,424,1172.51,92,436.07
Lohit,1618,3179.88,805,1742.28
Longding,327,1059.14,181,588.9
Lower Dibang Valley,895,2344.38,445,1113.52
Lower Subansiri,1774.13,5458.4907,509.25,1716.706
Namsai,1159,3768.61,727,2204.66
Pakke Kessang,159,343.72,64,96.65
Papum Pare,17356,51435.49,5911,18386.04
Shi Yomi,53,102.41,19,38.43
Siang,88,438.66,64,235.61
Tawang,630,2202.41,191,845.93
Tirap,946,2651.09,384,943.18
Upper Siang,350,1034,103,396.79
Upper Subansiri,1090,4235.2,437,1656.81
West Kameng,1445,4139.7,597,1749.83
West Siang,2274,7051.789999999999,1121,2983.4300000000003
