district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Anjaw,3.80,6,0.00,10,0.00,0,0.00,3,0.00,0,3.80,19,0.00,0
Changlang,8.03,165,12.67,516,0.00,0,15.02,26,0.00,0,35.72,707,0.00,0
Dibang Valley,0.02,4,0.52,12,0.00,0,0.00,3,0.00,1,0.54,20,0.00,0
East Kameng,11.00,9,15.74,182,0.00,0,36.10,8,0.00,0,62.84,199,0.00,0
East Siang,26.28,28,202.49,222,0.00,0,19.31,22,0.00,3,248.08,275,0.00,0
Kamle,0.00,0,0.00,0,0.00,0,0.00,3,0.00,0,0.00,3,0.00,0
Kra Daadi,0.00,3,0.00,21,0.00,0,0.00,1,0.00,0,0.00,25,0.00,0
Kurung Kumey,6.04,10,20.24,184,0.00,0,2.48,3,0.00,0,28.76,197,0.00,0
Leparada,2.00,4,23.31,23,0.00,0,0.00,1,0.00,0,25.31,28,0.00,0
Lohit,8.37,70,0.07,68,0.00,0,0.60,15,1.41,5,10.45,158,0.00,0
Longding,0.00,13,11.64,1256,0.00,0,0.00,8,0.00,2,11.64,1279,0.00,0
Lower Dibang Valley,7.07,10,13.11,95,0.00,0,2.46,5,0.00,0,22.64,110,0.00,0
Lower Siang,0.00,3,47.94,250,0.00,0,0.10,16,0.00,2,48.04,271,0.00,0
Lower Subansiri,0.00,43,86.20,443,0.00,0,84.03,30,0.00,2,170.23,518,0.00,0
Namsai,98.45,1632,30.81,102,0.00,0,3.94,23,0.00,3,133.20,1760,0.00,0
Papum Pare,758.43,460,6422.76,4156,0.00,6,410.18,255,10.51,87,7601.88,4965,0.00,1
Shi Yomi,36.16,55,6.09,22,0.00,0,0.00,0,0.00,0,42.25,77,0.00,0
Siang,0.00,4,4.30,12,0.00,0,0.00,1,0.00,0,4.30,17,0.00,0
Tawang,314.16,1041,8.57,29,0.00,0,5.52,22,6.00,3,334.25,1095,0.00,0
Tirap,0.00,33,48.71,811,0.00,0,1.06,16,0.00,3,49.77,863,0.00,0
Upper Siang,1.25,30,3.52,91,0.00,0,0.00,1,0.00,1,4.77,123,0.00,0
Upper Subansiri,8.27,6,6.85,45,0.00,1,2.66,9,0.00,1,17.78,62,0.00,0
West Kameng,271.53,1945,7.52,224,0.00,0,16.66,37,0.12,8,295.83,2214,0.00,0
West Siang,15.69,357,38.26,46,0.00,0,9.58,13,0.00,4,63.53,420,0.00,0
