District,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,0,0,0,0,0,1,16,17
Changlang,0,0,0,0,1,31,321,353
Dibang Valley,0,0,0,0,0,11,197,208
East Kameng,0,0,0,0,7,10,106,123
East Siang,0,0,0,0,18,164,1121,1303
Kamle,0,0,0,0,0,2,10,12
Kra Daadi,0,0,0,0,3,93,1085,1181
Kurung Kumey,0,0,0,0,0,2,22,24
Lepa Rada,0,0,0,0,5,25,66,96
Lohit,1,0,0,0,2,25,181,209
Longding,0,0,0,0,0,12,184,196
Lower Dibang Valley,0,0,0,0,0,59,214,273
Lower Siang,0,0,0,0,4,16,74,94
Lower Subansiri,0,0,0,0,2,51,616,669
Namsai,0,0,0,0,2,32,132,166
Pakke Kessang,0,0,0,0,0,3,15,18
Papum Pare,0,3,0,0,173,424,3182,3782
Shi Yomi,0,0,0,0,0,3,16,19
Siang,0,0,0,0,0,11,22,33
Tawang,0,0,0,0,4,68,238,310
Tirap,0,0,0,0,1,23,179,203
Upper Siang,0,0,0,0,0,18,93,111
Upper Subansiri,1,0,0,0,16,41,274,332
West Kameng,0,0,0,0,3,74,605,682
West Siang,0,0,0,0,43,67,683,793
