district,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,1,0.5,2,1.85,1,6.42,4,8.77
Changlang,157,22.46,12,21.57,5,20.2,174,64.23
Dibang Valley,1,0.1,2,2.01,0,0,3,2.11
East Kameng,54,18.48,15,17.78,26,72.39,95,108.65
East Siang,45,11.47,34,100.63,20,174.95,99,287.05
Kamle,1,0.5,2,8,9,18.1,12,26.6
Kra Daadi,128,12.71,18,7.75,19,42.62,165,63.08
Kurung Kumey,0,0,9,0.29,4,26.04,13,26.33
Lepa Rada,4,0.54,2,1.83,8,30.44,14,32.81
Lohit,47,3.81,44,37.52,10,38.43,101,79.76
Longding,4,0.4,7,1.66,3,1.07,14,3.13
Lower Dibang Valley,35,3.9,4,4.74,3,12.92,42,21.56
Lower Siang,0,0,3,13.41,6,49.47,9,62.88
Lower Subansiri,11,1.88,33,85.54,41,156.81,85,244.23
Namsai,55,7.41,14,29,8,50.51,77,86.92
Pakke Kessang,1,0.06,6,4.78,3,23.14,10,27.98
Papum Pare,205,65.29,184,242.57,96,332.77,485,640.63
Shi Yomi,0,0,0,0,2,3.12,2,3.12
Siang,0,0,1,0.07,3,11.46,4,11.53
Tawang,2,0.63,22,71.48,13,85.93,37,158.04
Tirap,25,2.9,9,5.07,7,19.34,41,27.31
Upper Siang,37,3.7,2,6.8,6,10.08,45,20.58
Upper Subansiri,10,0.82,34,27.74,15,57.53,59,86.09
West Kameng,17,3.85,49,81.5,38,266.3,104,351.65
West Siang,60,24.04,23,65.02,16,73.16,99,162.22
