district,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Total Sector,Loans to weaker No,Loans to weaker Amt
Anjaw,0,0,1,0,0,0,1,21,35.95
Changlang,0,3,3,0,0,0,6,94,127.56
Dibang Valley,0,0,1,0,0,0,1,49,40.37
East Kameng,0,0,8,0,0,0,8,60,74.44
East Siang,0,8,17,0,0,0,25,554,782.44
Kamle,0,0,0,0,0,0,0,7,45.5
Kra Daadi,0,1,0,0,0,0,1,69,126.5
Kurung Kumey,0,0,2,0,0,0,2,15,17.72
Lepa Rada,0,0,4,0,0,0,4,9,19.21
Lohit,0,7,8,0,0,0,15,664,453.42
Longding,0,2,0,0,0,0,2,88,382.45
Lower Dibang Valley,0,1,0,0,0,0,1,192,266.62
Lower Siang,0,3,2,0,0,0,5,28,110.58
Lower Subansiri,0,8,8,0,0,0,16,147,441.84
Namsai,0,2,10,0,0,0,12,496,431.73
Pakke Kessang,0,0,0,0,0,0,0,29,51.49
Papum Pare,0,43,112,0,0,2,157,2167,11493.64
Shi Yomi,0,1,0,0,0,0,1,3,5.67
Siang,0,0,0,0,0,0,0,6,34.33
Tawang,0,2,3,0,0,0,5,79,767.75
Tirap,0,1,5,0,0,0,6,208,158.45
Upper Siang,0,0,0,0,0,0,0,28,24.18
Upper Subansiri,0,5,2,0,0,0,7,66,158.52
West Kameng,0,5,6,0,0,0,11,241,1268.48
West Siang,0,3,25,0,0,0,28,108,543.98
