District,Inactive BC,Ru Pay card active in PMJDY,First time active Ru Pay card,Aadhaar Authenticated Sb accounts,Ru Pay card issued in KCC
Anjaw,0,2552,2552,3901,13
Changlang,0,44114,43329,53304,58
Dibang Valley,0,569,545,3842,39
East Kameng,4,12537,11543,28858,21
East Siang,1,40767,38574,37872,723
Kamle,0,858,858,2291,6
Kra Daadi,0,2955,2955,3375,30
Kurung Kumey,0,2308,1852,20244,55
Lepa Rada,0,2728,2412,10707,119
Lohit,0,12281,10489,22140,228
Longding,0,12063,12063,8344,22
Lower Dibang Valley,0,8696,8495,24649,224
Lower Siang,0,16176,16176,4736,114
Lower Subansiri,11,9779,9113,25109,690
Namsai,0,20429,19612,34508,347
Pakke Kessang,0,558,558,2145,6
Papum Pare,6,53458,41783,119546,2171
Shi Yomi,0,1634,1634,2785,0
Siang,0,3881,3881,2847,28
Tawang,0,4429,2923,22300,53
Tirap,0,25425,13528,17234,52
Upper Siang,1,3215,2409,20341,43
Upper Subansiri,6,17624,14763,29154,210
West Kameng,2,12082,11365,33777,199
West Siang,5,12301,10143,26491,135
