district,KCCs for AH and Allied Activities,Farm Production,Dairy,Farm Mechanisation,Poultry,Fisheries,Godown,Clinic,Other,Total IC-Agri Dis
Anjaw,0,0,0,0,0,0,0,0,0,0
Changlang,9,0,1,1,0,0,0,0,0,11
Dibang Valley,0,0,1,0,1,0,0,0,0,2
East Kameng,0,0,0,0,2,0,0,0,0,2
East Siang,13,0,2,0,1,0,0,0,8,24
Kamle,0,0,0,0,0,0,0,0,0,0
Kra Daadi,0,0,1,0,4,0,0,0,0,5
Kurung Kumey,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,0,0,0,0,0,0
Lohit,12,0,0,0,0,0,0,0,1,13
Longding,0,0,0,0,0,0,0,0,0,0
Lower Dibang Valley,0,0,1,1,0,0,0,0,0,2
Lower Siang,3,0,0,0,0,0,0,0,0,3
Lower Subansiri,1,0,0,0,0,1,0,0,13,15
Namsai,0,0,0,7,0,0,0,0,0,7
Pakke Kessang,0,0,0,1,0,0,0,0,0,1
Papum Pare,12,0,2,2,0,2,4,0,29,51
Shi Yomi,0,0,0,0,0,0,0,0,0,0
Siang,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,2,0,0,0,0,0,4,6
Tirap,2,0,0,0,0,0,0,0,0,2
Upper Siang,0,0,0,0,0,0,0,0,0,0
Upper Subansiri,0,0,0,0,1,0,0,0,0,1
West Kameng,34,0,1,2,1,0,0,0,5,43
West Siang,0,0,0,0,3,0,0,0,8,11
