District,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Anjaw,13184,2978,4261
Changlang,120442,39573,52503
Dibang Valley,7137,3704,4315
East Kameng,63919,26646,28968
East Siang,168490,95775,53474
Kamle,6484,1739,2249
Kra Daadi,9489,2606,3176
Kurung Kumey,27581,20921,19865
Lepa Rada,25130,14250,9465
Lohit,53233,22202,21324
Longding,31739,6961,11088
Lower Dibang Valley,55471,29542,23350
Lower Siang,44157,17174,4759
Lower Subansiri,73971,35008,22941
Namsai,67047,39496,31435
Pakke Kessang,4281,1688,1299
Papum Pare,384982,198837,181513
Shi Yomi,8705,5304,4938
Siang,19131,9289,3503
Tawang,54003,18555,19819
Tirap,53812,22250,20388
Upper Siang,43671,27406,19657
Upper Subansiri,82679,45739,30699
West Kameng,80221,30819,29117
West Siang,78329,42528,26687
