District,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb No.,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,OS No.,of which girl student OS No.,OS Amt,of which girl student OS Amt
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
Changlang,1,1,1.52,1.52,3,2,10.57,9.69,16,7,54.97,20.19
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,0,0,0,0,1,0,7.15,0,1,0,7.15,0
East Siang,4,0,24.77,0,11,5,37.12,19.79,27,9,119.6,53.82
Kamle,0,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,1,0,1.74,0,1,0,1.74,0,1,0,1.74,0
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0
Lepa Rada,0,0,0,0,0,0,0,0,0,0,0,0
Lohit,2,1,8.58,1.08,8,5,37.36,19.89,13,7,49.39,25.9
Longding,2,0,1.9,0,3,1,3.25,1.35,8,5,26.35,15.52
Lower Dibang Valley,1,0,1.61,0,1,0,1.61,0,6,2,24.53,8.2
Lower Siang,0,0,0,0,4,1,12.43,4.73,5,2,15.66,7.96
Lower Subansiri,2,1,3.11,1.16,9,5,26.07,17.61,19,11,48.99,28.14
Namsai,1,1,1.62,1.62,2,2,8.61,8.61,7,4,25.15,13.71
Pakke Kessang,0,0,0,0,0,0,0,0,1,0,0.08,0
Papum Pare,21,15,49.59,33.59,52,32,168.16,89.96,191,86,616.04,202.5
Shi Yomi,0,0,0,0,1,0,3.66,0,2,0,4.58,0
Siang,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,0,0,0,0,2,1,9.18,8.48,3,1,16.44,8.48
Tirap,0,0,0,0,1,1,6.97,6.97,8,3,24.11,11.62
Upper Siang,0,0,0,0,0,0,0,0,3,1,7.95,0.34
Upper Subansiri,3,3,4.47,4.47,5,4,10.72,8.85,15,9,46.23,31.36
West Kameng,4,2,24.09,21.77,8,4,37.3,26.81,14,8,57.19,41.05
West Siang,1,1,4,4,3,2,11.49,7.85,11,5,31.29,15.71
