district,Micro,Small,Medium,KVIC,Other MSME,Total MSME NPA
Anjaw,2,0,0,0,0,2
Changlang,17,0,0,0,0,17
Dibang Valley,0,0,0,0,0,0
East Kameng,44,3,0,0,1,48
East Siang,239,20,0,0,23,282
Kamle,17,1,0,0,0,18
Kra Daadi,20,6,0,0,1,27
Kurung Kumey,44,9,0,0,3,56
Lepa Rada,8,0,0,0,5,13
Lohit,47,0,0,0,2,49
Longding,17,2,0,0,0,19
Lower Dibang Valley,1,0,0,0,1,2
Lower Siang,3,0,0,0,9,12
Lower Subansiri,121,22,0,0,11,154
Namsai,80,0,0,0,1,81
Pakke Kessang,5,0,0,0,0,5
Papum Pare,2018,202,5,32,46,2303
Shi Yomi,13,0,0,0,0,13
Siang,11,0,0,0,3,14
Tawang,52,9,0,0,0,61
Tirap,18,0,0,0,1,19
Upper Siang,9,1,0,0,1,11
Upper Subansiri,66,4,0,0,44,114
West Kameng,41,1,0,0,3,45
West Siang,75,5,0,0,8,88
