district,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,191,0,207,0,1,51,1,0,1,452
Changlang,800,86,481,0,11,222,188,0,60,1848
Dibang Valley,135,0,142,0,0,19,3,0,0,299
East Kameng,30,3,74,0,4,14,4,0,3,132
East Siang,530,32,727,22,161,462,242,130,1538,3844
Kamle,110,2,93,0,0,42,2,0,3,252
Kra Daadi,227,8,299,0,4,89,2,0,52,681
Kurung Kumey,65,0,10,0,5,25,106,0,1,212
Lepa Rada,192,1,239,0,68,34,5,0,1,540
Lohit,1783,10,1824,0,38,710,29,0,13,4407
Longding,413,3,6,0,1,78,424,0,42,967
Lower Dibang Valley,499,54,404,0,41,128,35,0,0,1161
Lower Siang,125,0,150,0,13,19,33,0,3,343
Lower Subansiri,468,15,512,1,274,278,324,90,66,2028
Namsai,998,39,904,0,48,242,761,10,15,3017
Pakke Kessang,179,1,217,0,1,69,23,0,1,491
Papum Pare,4506,206,6486,75,252,4116,5069,423,8042,29175
Shi Yomi,0,0,14,0,0,1,5,0,12,32
Siang,101,0,190,0,41,13,0,0,3,348
Tawang,278,11,592,3,57,132,698,10,2,1783
Tirap,575,5,341,0,4,186,242,2,16,1371
Upper Siang,174,0,206,0,4,70,2,0,8,464
Upper Subansiri,266,1,420,0,117,62,46,1,110,1023
West Kameng,543,13,945,16,137,299,985,202,41,3181
West Siang,597,9,920,20,73,272,52,100,53,2096
