district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,16,1,8,0,0,0,25
Changlang,795,43,408,6,0,0,1252
Dibang Valley,78,8,30,6,0,0,122
East Kameng,1235,84,111,2,0,0,1432
East Siang,866,189,50,6,0,1,1112
Kamle,4,2,0,0,0,0,6
Kra Daadi,309,7,12,9,1,1,339
Kurung Kumey,963,14,22,0,0,0,999
Lepa Rada,390,40,81,0,0,0,511
Lohit,137,44,160,4,0,0,345
Longding,1897,26,37,2,0,0,1962
Lower Dibang Valley,751,56,125,0,0,0,932
Lower Siang,330,16,8,1,0,0,355
Lower Subansiri,2415,207,107,1,0,0,2730
Namsai,1093,31,1743,2,0,0,2869
Pakke Kessang,82,7,7,1,0,0,97
Papum Pare,16234,2359,1357,64,1,6,20021
Shi Yomi,117,0,156,0,0,0,273
Siang,13,1,5,0,0,0,19
Tawang,79,21,2089,18,0,0,2207
Tirap,1483,17,505,0,0,0,2005
Upper Siang,129,2,41,0,0,0,172
Upper Subansiri,264,44,128,1,0,1,438
West Kameng,1068,91,2771,24,1,1,3956
West Siang,86,46,1345,5,0,0,1482
