district,Micro No,Small No,Medium No,Other MSME No,MSME Total No.
Anjaw,22,2,0,0,24
Changlang,374,4,0,0,378
Dibang Valley,12,8,0,0,20
East Kameng,250,27,0,4,281
East Siang,2206,87,7,210,2510
Kamle,0,0,0,0,0
Kra Daadi,313,15,0,0,328
Kurung Kumey,80,25,0,2,107
Lepa Rada,31,1,0,34,66
Lohit,289,9,0,15,313
Longding,58,6,0,0,64
Lower Dibang Valley,88,30,0,19,137
Lower Siang,62,21,0,73,156
Lower Subansiri,467,71,0,150,688
Namsai,261,99,0,20,380
Pakke Kessang,50,2,0,0,52
Papum Pare,10568,1236,40,580,12424
Shi Yomi,0,0,0,0,0
Siang,23,7,0,13,43
Tawang,374,113,1,5,493
Tirap,73,14,0,0,87
Upper Siang,60,16,0,32,108
Upper Subansiri,271,36,0,175,482
West Kameng,792,83,1,43,919
West Siang,591,26,0,83,700
