district,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS
Anjaw,0,0,1,0,0,0,1
Changlang,0,15,20,0,0,22,57
Dibang Valley,0,0,8,0,0,3,11
East Kameng,0,1,50,0,0,79,130
East Siang,0,22,87,0,0,119,228
Kamle,0,0,0,0,0,0,0
Kra Daadi,0,1,8,0,0,0,9
Kurung Kumey,0,0,17,0,0,15,32
Lepa Rada,0,0,45,0,0,14,59
Lohit,0,11,19,0,0,12,42
Longding,0,9,1,0,0,0,10
Lower Dibang Valley,0,3,7,0,0,17,27
Lower Siang,0,5,44,0,0,3,52
Lower Subansiri,0,19,86,0,0,73,178
Namsai,0,11,28,0,0,75,114
Pakke Kessang,0,0,19,0,0,0,19
Papum Pare,0,236,779,1,0,1170,2186
Shi Yomi,0,2,1,0,0,23,26
Siang,0,0,4,0,0,0,4
Tawang,0,3,18,0,0,38,59
Tirap,0,9,19,0,0,8,36
Upper Siang,0,3,6,0,0,82,91
Upper Subansiri,0,14,82,0,0,50,146
West Kameng,0,14,55,0,0,23,92
West Siang,0,9,93,1,0,38,141
