district,Disbursement No.,Disbursement Amt.,Outstanding No.,Outstanding Amt.
Anjaw,0,0,0,0
Changlang,0,0,0,0
Dibang Valley,0,0,0,0
East Kameng,0,0,0,0
East Siang,0,0,280,19.2
Kamle,0,0,1,0.42
Kra Daadi,0,0,0,0
Kurung Kumey,0,0,0,0
Lepa Rada,0,0,0,0
Lohit,0,0,2,1.29
Longding,0,0,0,0
Lower Dibang Valley,0,0,1,0.01
Lower Siang,0,0,0,0
Lower Subansiri,0,0,3,0.08
Namsai,0,0,0,0
Pakke Kessang,0,0,0,0
Papum Pare,0,0,1039,250.82
Shi Yomi,0,0,0,0
Siang,0,0,0,0
Tawang,0,0,0,0
Tirap,0,0,0,0
Upper Siang,0,0,0,0
Upper Subansiri,0,0,0,0
West Kameng,0,0,0,0
West Siang,0,0,0,0
