District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Anjaw,2,0.98,12,55.98,67,301.98,658,2377.6
Changlang,19,129.45,203,597.47,273,1460.7,2942,9834.86
Dibang Valley,1,8,10,59.71,53,319.34,671,2465.56
East Kameng,4,33.37,27,163.58,172,894.28,3366,8973.74
East Siang,11,55.57,142,477.63,972,5866.41,7793,33176.12
Kamle,2,1.03,6,5.85,57,80.92,246,716.35
Kra Daadi,1,0.8,39,268.42,209,1383.19,1391,7039.34
Kurung Kumey,0,0,6,48.29,35,119.39,925,2641.72
Lepa Rada,2,21.38,9,38.19,152,927.85,2602,8889.79
Lohit,9,52.65,70,260.86,778,1571.66,4634,11884.45
Longding,2,26,21,134.26,36,197.88,256,1427.82
Lower Dibang Valley,23,100.26,140,388,234,721.79,2096,6573.06
Lower Siang,10,73.46,47,233.66,191,898.96,1062,4355.29
Lower Subansiri,9,44.03,91,373.68,503,2828.42,6290,19887.76
Namsai,18,67.81,92,339.81,329,2056.36,3030,11434.68
Pakke Kessang,0,0,23,79.19,37,157.75,507,1359.56
Papum Pare,78,517.84,595,2618.7,2474,19527.85,29001,186646.93
Shi Yomi,0,0,3,19.63,21,73.12,342,1051.77
Siang,0,0,7,28.41,118,565.99,755,2877.23
Tawang,3,16.3,43,152.23,196,1451.05,2101,9581.63
Tirap,1,10,32,134.98,163,851.3,2041,6713.97
Upper Siang,2,11,31,151.22,147,529.39,1578,4760.79
Upper Subansiri,12,61.97,51,229.47,416,2644.39,4813,19562.22
West Kameng,14,60.41,107,406.42,532,3282.58,4578,17971.4
West Siang,4,26.99,53,313.92,532,4083.62,5494,25855
