district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Anjaw,5.80,8,0,0.00,8.99,0.00,0,0.00,4.73,8,8.99,49,49
Changlang,11.54,10,0,0.00,81.80,1.28,13,14.76,8.67,30,81.80,725,725
Dibang Valley,0.00,0,0,0.00,2.64,0.00,0,0.00,0.00,0,2.64,15,15
East Kameng,0.00,0,0,0.00,14.13,0.00,0,0.00,0.00,0,14.13,175,175
East Siang,16.71,6,4,3.57,4.68,0.44,3,1.05,41.96,34,10.18,40,33
Kamle,0.00,0,0,0.00,0.56,0.00,0,0.00,0.00,0,0.56,28,28
Kra Daadi,31.63,17,0,0.00,39.24,0.00,0,0.00,145.92,104,39.24,186,186
Kurung Kumey,21.08,13,0,0.00,9.66,0.00,0,0.00,26.44,17,9.66,51,51
Leparada,0.00,0,0,0.00,13.66,0.37,2,2.78,13.31,60,15.55,78,77
Lohit,29.44,18,13,19.26,29.52,1.10,1,1.72,63.77,53,29.75,109,100
Longding,0.00,0,0,0.00,4.93,10.46,35,100.00,10.46,35,4.93,154,154
Lower Dibang Valley,20.06,8,7,9.12,2.73,0.00,0,0.00,46.51,36,2.73,12,12
Lower Siang,0.00,0,0,0.00,0.87,0.22,1,1.14,19.30,15,5.88,44,12
Lower Subansiri,72.60,22,20,71.12,3.37,4.25,4,1.58,269.10,172,3.37,35,35
Namsai,23.81,11,1,2.15,5.31,19.93,30,17.79,112.03,116,5.31,21,21
Papum Pare,110.27,52,23,33.25,12.55,15.21,18,5.40,281.49,245,21.31,96,67
Shi Yomi,0.00,0,0,0.00,0.07,0.00,0,0.00,0.00,0,0.07,4,4
Siang,41.95,17,6,9.74,21.56,0.00,0,0.00,62.49,54,22.78,74,73
Tawang,6.68,5,0,0.00,46.77,0.00,0,0.00,26.83,27,46.78,152,150
Tirap,2.73,3,0,0.00,34.52,0.40,2,21.39,1.87,5,34.52,580,580
Upper Siang,6.02,2,0,0.00,27.11,0.00,0,0.00,4.52,6,27.11,34,34
Upper Subansiri,58.91,23,13,30.07,10.54,9.85,9,9.90,99.49,95,10.54,107,107
West Kameng,55.89,31,1,0.97,55.92,4.80,10,6.36,75.46,47,55.97,227,202
West Siang,0.00,0,12,7.91,2.36,0.48,6,2.13,22.52,55,2.49,21,19
