District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,4,210964,0,0,3,1984
Changlang,226,2380064,3,22,1162,27583
Dibang Valley,0,100518,0,1,357,2264
East Kameng,2523,1019318,217,773,9483,12544
East Siang,744859,2672816,1384,26093,29810,35528
Kamle,0,187106,0,0,5,2028
Kra Daadi,0,234810,0,0,25,4799
Kurung Kumey,7,160541,0,2,2432,3113
Lepa Rada,10,570345,0,0,768,7369
Lohit,25156,1194525,13,2203,2032,14952
Longding,0,738050,0,0,28,8988
Lower Dibang Valley,174737,1006982,19,9909,9004,14397
Lower Siang,0,622416,0,0,5,8992
Lower Subansiri,192478,1578524,173,3117,14061,23604
Namsai,4530,1116760,1283,771,5981,23989
Pakke Kessang,0,189206,0,1,80,3343
Papum Pare,3170594,8451602,7873,245762,247294,215350
Shi Yomi,0,89533,0,0,255,2182
Siang,0,323944,0,8,3,3565
Tawang,184994,699245,317,4626,12363,16777
Tirap,6,978676,0,11,354,20027
Upper Siang,7,532132,0,0,1480,6261
Upper Subansiri,1132,1195895,0,528,3982,16037
West Kameng,131983,2143201,483,794,15041,51684
West Siang,325155,1634352,338,5301,24007,23785
