District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,Ops Total
Anjaw,0,0,1,0,0,0,1
Changlang,0,14,18,0,0,9,41
Dibang Valley,0,0,2,0,0,1,3
East Kameng,0,1,27,0,0,52,80
East Siang,0,21,64,0,0,12,97
Kamle,0,0,1,0,0,0,1
Kra Daadi,0,1,0,0,0,2,3
Kurung Kumey,0,0,15,0,0,10,25
Lepa Rada,0,1,33,0,0,11,45
Lohit,0,13,18,0,0,21,52
Longding,0,11,0,0,0,0,11
Lower Dibang Valley,0,5,7,0,0,18,30
Lower Siang,0,7,24,0,0,0,31
Lower Subansiri,0,15,62,0,0,70,147
Namsai,0,12,23,0,0,15,50
Pakke Kessang,0,0,16,0,0,0,16
Papum Pare,0,199,542,150,0,374,1265
Shi Yomi,0,1,2,0,0,18,21
Siang,0,0,1,0,0,0,1
Tawang,0,3,17,0,0,28,48
Tirap,0,12,17,0,0,8,37
Upper Siang,0,2,4,0,0,87,93
Upper Subansiri,0,12,49,0,0,44,105
West Kameng,0,14,42,0,0,14,70
West Siang,0,6,58,0,0,15,79
