District,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Anjaw,287,885.78,88,50.28
Changlang,1470,5149.06,222,340.75
Dibang Valley,286,895.49,77,62.59
East Kameng,1048,4484.74,103,290.14
East Siang,4577,17225.63,318,916.19
Kamle,207,398.48,65,51.72
Kra Daadi,528,1150.77,128,231.72
Kurung Kumey,522,1589.82,62,31.47
Lepa Rada,715,2671.92,75,108.01
Lohit,2037,5648.14,722,895.68
Longding,646,2064.04,148,145.05
Lower Dibang Valley,1476,4550.35,250,627.66
Lower Siang,543,2235.43,63,158.61
Lower Subansiri,2251,9178.74,183,391.03
Namsai,2026,6928.15,491,607.59
Pakke Kessang,258,600.88,53,30.43
Papum Pare,23134,97246.91,1349,7608.46
Shi Yomi,102,407.66,4,4.97
Siang,275,1097.63,10,30
Tawang,922,3848.96,96,352.62
Tirap,1087,4160.12,171,122.31
Upper Siang,548,2035.42,26,154.32
Upper Subansiri,1602,6997.36,153,273.79
West Kameng,2205,8961.08,287,975.68
West Siang,1882,8164.37,238,417.2
