District,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Sector Total,Loans to weaker
Anjaw,0,0,0,0,0,0,0,8
Changlang,0,4,2,0,0,0,6,121
Dibang Valley,0,0,0,0,0,0,0,25
East Kameng,0,0,1,0,0,0,1,43
East Siang,0,4,3,0,0,0,7,171
Kamle,0,0,0,0,0,0,0,61
Kra Daadi,0,0,0,0,0,0,0,116
Kurung Kumey,0,0,0,0,0,0,0,94
Lepa Rada,0,0,0,0,0,0,0,57
Lohit,0,4,0,0,0,0,4,379
Longding,0,2,0,0,0,0,2,199
Lower Dibang Valley,0,2,1,0,0,0,3,197
Lower Siang,0,2,0,0,0,0,2,64
Lower Subansiri,0,3,2,0,0,0,5,165
Namsai,0,6,1,0,0,0,7,261
Pakke Kessang,0,0,0,0,0,0,0,44
Papum Pare,0,34,32,0,0,0,66,935
Shi Yomi,0,0,0,0,0,0,0,0
Siang,0,0,0,0,0,0,0,14
Tawang,0,0,0,0,0,0,0,140
Tirap,0,3,0,0,0,0,3,132
Upper Siang,0,0,0,0,0,0,0,13
Upper Subansiri,0,1,1,0,0,0,2,159
West Kameng,0,2,1,0,0,0,3,499
West Siang,0,1,2,0,0,0,3,128
