District,Target(24-25) No.,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Pct
Anjaw,120,1,3,2,0,0
Changlang,420,1,5,0,0,0
Dibang Valley,25,0,0,0,0,0
East Kameng,50,0,0,0,0,0
East Siang,190,11,37,4,0,0
Kamle,40,0,1,1,0,0
Kra Daadi,40,49,112,15,0,0
Kurung Kumey,115,0,2,0,0,0
Lepa Rada,40,6,14,2,0,0
Lohit,66,19,29,2,0,0
Longding,180,0,0,0,0,0
Lower Dibang Valley,95,11,12,0,0,0
Lower Siang,105,2,24,1,0,0
Lower Subansiri,73,11,124,6,0,0
Namsai,305,5,88,3,2,7.47
Pakke Kessang,105,2,3,1,0,0
Papum Pare,411,55,190,11,55,18.16
Shi Yomi,60,0,0,0,0,0
Siang,215,1,11,0,0,0
Tawang,205,2,13,4,0,0
Tirap,190,0,1,1,0,0
Upper Siang,155,0,0,0,0,0
Upper Subansiri,205,15,75,8,1,1.93
West Kameng,340,1,8,2,0,0
West Siang,50,0,9,0,0,0
