district,Target (24-25),SANCTIONED,DISBURSED,OUTSTANDING,NPA,PMEGP NPA Amt. %
Anjaw,6,0,0,4,1,3.95
Changlang,6,1,1,13,4,10.95
Dibang Valley,6,0,0,0,0,0
East Kameng,12,0,0,10,3,9.24
East Siang,15,2,2,26,18,33.41
Kamle,6,0,1,13,10,76.95
Kra Daadi,6,0,3,21,12,53.95
Kurung Kumey,9,2,3,29,17,26.32
Lepa Rada,6,0,0,13,1,7.06
Lohit,12,0,2,11,2,12.88
Longding,6,0,2,6,1,10.62
Lower Dibang Valley,6,1,1,6,2,6.58
Lower Siang,6,5,6,12,4,27.75
Lower Subansiri,15,3,7,89,42,13.5
Namsai,12,0,1,10,4,23.03
Pakke Kessang,6,0,0,3,1,32.52
Papum Pare,60,58,70,594,169,11.47
Shi Yomi,6,2,0,9,6,50.46
Siang,6,0,0,7,5,60.48
Tawang,14,2,4,28,2,11.45
Tirap,6,0,1,8,2,16.04
Upper Siang,6,2,1,7,0,0
Upper Subansiri,9,1,6,65,48,69.77
West Kameng,15,0,7,74,11,5.84
West Siang,12,3,5,32,13,30.62
