District,Agriculture (NPS),Msme (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total Acp (NPS)
Anjaw,0,0,0,0,0,6,66,72
Changlang,0,0,0,0,6,57,740,803
Dibang Valley,0,0,0,0,0,7,74,81
East Kameng,0,0,0,0,8,46,326,380
East Siang,0,0,0,1,61,259,1669,1990
Kamle,0,0,0,0,0,4,22,26
Kra Daadi,0,0,0,0,0,10,68,78
Kurung Kumey,0,0,0,0,4,8,67,79
Lepa Rada,0,0,0,0,9,25,221,255
Lohit,0,0,0,1,4,106,613,724
Longding,0,0,0,0,3,12,217,232
Lower Dibang Valley,0,0,0,0,2,130,791,923
Lower Siang,0,0,0,0,45,18,260,323
Lower Subansiri,0,0,0,0,26,83,652,761
Namsai,0,0,0,0,7,100,912,1019
Pakke Kessang,0,0,0,0,3,5,63,71
Papum Pare,1,0,0,5,366,1503,7632,9507
Shi Yomi,0,0,0,0,0,3,24,27
Siang,0,0,0,0,0,9,72,81
Tawang,1,0,0,0,6,131,710,848
Tirap,0,0,0,0,8,31,330,369
Upper Siang,0,0,0,0,1,21,205,227
Upper Subansiri,0,0,0,0,25,56,383,464
West Kameng,0,0,0,0,31,109,1220,1360
West Siang,0,0,0,0,45,81,716,842
