District,Application Sponsored No.,Loan Under Process No.,Sanctioned No.,Rejected No.
Anjaw,0,0,0,0
Capital Complex,102,19,31,52
Changlang,23,0,4,19
Dibang Valley,0,0,0,0
East Kameng,9,1,0,8
East Siang,14,1,3,10
Kamle,1,0,1,0
Kra Daadi,0,0,0,0
Kurung Kumey,23,20,0,3
Lepa Rada,6,0,0,6
Lohit,2,0,0,2
Longding,0,0,0,0
Lower Dibang Valley,4,1,0,3
Lower Siang,4,0,0,4
Lower Subansiri,30,4,2,24
Namsai,16,4,1,11
Pakke Kessang,1,0,0,1
Papum Pare,39,8,5,26
Shi Yomi,0,0,0,0
Siang,0,0,0,0
Tawang,0,0,0,0
Tirap,0,0,0,0
Upper Siang,4,0,0,4
Upper Subansiri,37,5,7,25
West Kameng,8,2,0,6
West Siang,28,0,1,27
