District,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,1,0,0,0
Changlang,21,22,12,0,0,0
Dibang Valley,7,0,0,0,0,0
East Kameng,54,201,2,0,0,0
East Siang,45,255,29,0,0,0
Kamle,1,4,2,0,0,0
Kra Daadi,0,3,1,0,0,0
Kurung Kumey,15,8,4,0,0,0
Lepa Rada,27,99,58,2,0,2
Lohit,15,23,7,0,0,0
Longding,0,20,9,0,0,0
Lower Dibang Valley,11,11,4,0,0,0
Lower Siang,28,257,136,0,0,0
Lower Subansiri,53,142,36,0,0,0
Namsai,20,44,14,0,0,0
Pakke Kessang,18,7,20,1,0,1
Papum Pare,392,2499,396,0,0,0
Shi Yomi,3,2,3,0,0,0
Siang,0,5,4,0,0,0
Tawang,23,42,6,0,0,0
Tirap,17,17,17,0,0,0
Upper Siang,4,3,2,0,0,0
Upper Subansiri,57,229,19,0,0,0
West Kameng,41,136,87,3,0,3
West Siang,51,301,28,2,0,2
