District,Target (24-25),SANCTIONED,DISBURSED,OUTSTANDING,NPA,PMEGP NPA Amt. %
Anjaw,6,1,3,3,0,0
Changlang,6,3,9,11,1,0.28
Dibang Valley,6,0,0,0,0,0
East Kameng,12,2,4,10,5,23.39
East Siang,15,2,6,19,11,27.84
Kamle,6,1,3,8,7,43.05
Kra Daadi,6,0,5,12,6,50.69
Kurung Kumey,9,10,17,11,0,0
Lepa Rada,6,0,10,11,3,38.79
Lohit,12,2,6,10,1,8.21
Longding,6,0,4,5,1,13.02
Lower Dibang Valley,6,2,4,9,2,2.69
Lower Siang,6,1,8,10,6,49.58
Lower Subansiri,15,8,32,82,37,12.71
Namsai,12,2,5,48,44,75.66
Pakke Kessang,6,2,3,4,0,0
Papum Pare,60,157,225,631,216,16.75
Shi Yomi,6,0,2,5,2,31.48
Siang,6,0,2,5,5,100
Tawang,14,5,13,24,1,0.62
Tirap,6,0,4,6,2,45.54
Upper Siang,6,0,5,6,0,0
Upper Subansiri,9,5,21,58,37,49.77
West Kameng,15,18,37,77,12,7.45
West Siang,12,5,9,28,12,29.1
