District,Application Sponsored No.,Sanctioned No.,Loan Under Process No.,Rejected No.
Anjaw,0,0,0,0
Capital Complex,124,42,15,67
Changlang,18,4,0,14
Dibang Valley,0,0,0,0
East Kameng,11,0,1,10
East Siang,20,3,3,14
Kamle,3,1,0,2
Kra Daadi,5,0,2,3
Kurung Kumey,25,4,11,10
Lepa Rada,6,0,0,6
Lohit,5,0,2,3
Longding,0,0,0,0
Lower Dibang Valley,10,0,1,9
Lower Siang,3,0,1,2
Lower Subansiri,47,5,15,27
Namsai,7,1,4,2
Pakke Kessang,1,0,0,1
Papum Pare,50,10,11,29
Shi Yomi,0,0,0,0
Siang,0,0,0,0
Tawang,0,0,0,0
Tirap,8,0,4,4
Upper Siang,15,0,6,9
Upper Subansiri,46,11,10,25
West Kameng,8,0,2,6
West Siang,28,1,0,27
