district,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,480,4,480,4,12,0,0
Changlang,8338,188,8348,399,71,1,3.02
Dibang Valley,60,0,60,0,0,0,0
East Kameng,977,33,979,44,22,3,21.72
East Siang,62,11,67,77,112,1,1.72
Kamle,193,0,193,0,3,0,0
Kra Daadi,1856,76,1857,115,161,4,1.74
Kurung Kumey,1068,64,1068,120,31,3,7.28
Lepa Rada,200,13,200,38,54,3,3.67
Lohit,457,41,474,74,216,0,0
Longding,1954,4,1954,4,1,0,0
Lower Dibang Valley,132,23,159,79,70,0,0
Lower Siang,52,20,59,45,55,0,0
Lower Subansiri,112,15,115,75,210,4,2.28
Namsai,246,128,349,220,299,3,2.58
Pakke Kessang,900,16,900,24,14,0,0
Papum Pare,856,40,881,110,344,66,14.31
Shi Yomi,6,0,6,0,0,0,0
Siang,231,3,231,16,41,1,3.47
Tawang,854,8,856,22,31,1,2.99
Tirap,2413,32,2413,72,8,0,0
Upper Siang,98,10,98,20,22,0,0
Upper Subansiri,2016,37,2031,111,184,3,4.12
West Kameng,3209,117,3210,367,140,2,3.13
West Siang,22,29,36,73,84,0,0
