district,Deposit Amount (D),Advance Amount (A),Current C:D Ratio,Population,Per Capita Credit
Baksa,80940.09,38127.31,47.11,0,0
Barpeta,343370.55,224177.68,65.29,0,0
Biswanath,93938.08,53223.41,56.66,0,0
Bongaigaon,245638.81,118577.86,48.27,0,0
Cachar,731244.55,289446.08,39.58,0,0
Charaideo,68780.91,33658.48,48.94,0,0
Chirang,107449.01,43087.98,40.1,0,0
Darrang,156597.82,101774,64.99,0,0
Dhemaji,101302.56,67511.51,66.64,0,0
Dhubri,211736.31,123910.25,58.52,0,0
Dibrugarh,855202.04,384999.28,45.02,0,0
Dima Hasao,76354.83,21790.26,28.54,0,0
Goalpara,168447.77,78352.33,46.51,0,0
Golaghat,281307.85,194273.45,69.06,0,0
Hailakandi,135552.42,48867.53,36.05,0,0
Hojai,182591.07,67837.64,37.15,0,0
Jorhat,534100.96,300591.47,56.28,0,0
Kamrup,620991.55,470605.21,75.78,0,0
Kamrup Metro,5093825.61,2013229.19,39.52,0,0
Karbi Anglong,158320.68,75734.6,47.84,0,0
Karimganj,309653.04,102126.35,32.98,0,0
Kokrajhar,229673.29,70715.54,30.79,0,0
Lakhimpur,225487.35,156438.42,69.38,0,0
Majuli,26945.6,12559.16,46.61,0,0
Morigaon,149185.46,113158.72,75.85,0,0
Nagaon,480465.41,303143.02,63.09,0,0
Nalbari,213122.33,122087.21,57.29,0,0
Sivasagar,399888.43,204327.92,51.1,0,0
Sonitpur,398257.38,247769.42,62.21,0,0
South Salmara,12630.94,4893.41,38.74,0,0
Tinsukia,556004.89,286232.91,51.48,0,0
Udalguri,86544.24,62079.35,71.73,0,0
West Karbi Anglong,33842.3,24310.77,71.84,0,0
