District,Urban Number,Urban Amt,Semi-Urban Number,Semi-Urban Amt,Rural Number,Rural Amt,Total Number,Total Amt
Baksa,0,0,3,6.51,991,5890.76,994,5897.27
Barpeta,0,0,1475,11886.69,1593,12308,3068,24194.69
Biswanath,0,0,85,560.8,152,716,237,1276.8
Bongaigaon,0,0,1734,14811.99,271,2015.72,2005,16827.71
Cachar,2699,17705.03,261,2489.66,668,5452.5,3628,25647.19
Charaideo,0,0,36,308.7,49,350.62,85,659.32
Chirang,0,0,79,318.25,436,4151.35,515,4469.6
Darrang,3,16.11,1182,8586.12,365,1727.92,1550,10330.15
Dhemaji,0,0,1002,8667.5,410,3382.49,1412,12049.99
Dhubri,50,530.75,1497,9131.23,571,3797.48,2118,13459.46
Dibrugarh,3119,28243.03,1142,12033.49,1214,10208.06,5475,50484.58
Dima Hasao,0,0,565,2780.23,534,2110.49,1099,4890.72
Goalpara,0,0,635,4612.77,326,1955.52,961,6568.29
Golaghat,3,17.21,1721,14631.99,690,6222.78,2414,20871.98
Hailakandi,0,0,1063,7618.36,71,455.67,1134,8074.03
Hojai,1,7.91,162,1800.57,92,729.97,255,2538.45
Jorhat,500,3282.5,3014,29520.8,904,6975.42,4418,39778.72
Kamrup Metro,1513,29234.66,1066,8181.93,2199,18168.14,4778,55584.73
Karbi Anglong,0,0,1254,8144.09,1753,10026.2,3007,18170.29
Karimganj,0,0,906,6074.16,303,2044.71,1209,8118.87
Kokrajhar,0,0,873,5889.73,246,2134.43,1119,8024.16
Lakhimpur,53,613.58,1764,12286.04,932,7361.92,2749,20261.54
Majuli,0,0,167,1423.64,26,258.12,193,1681.76
Morigaon,0,0,1009,4008.66,512,3771.17,1521,7779.83
Nagaon,1785,13844.75,996,7855.55,951,7307.44,3732,29007.74
Nalbari,202,2546.67,1874,14216.22,1655,8568.24,3731,25331.13
Sivasagar,13,25.93,2419,17497.77,588,4666.07,3020,22189.77
Sonitpur,66,635.91,3395,27441.67,1542,9126.5,5003,37204.08
South Salmara,0,0,0,0,23,60.04,23,60.04
Tinsukia,1777,17433.18,639,4954.23,711,6831.66,3127,29219.07
Udalguri,1,6.3,1123,10916.7,261,1631.14,1385,12554.14
West Karbi Anglong,0,0,92,418.62,506,2124.12,598,2542.74
