District,SISHU NO,SISHU AMT,SISHU O/S no,SISHU O/S Amt,KISHORE NO,KISHORE AMT,KISHORE O/S no,KISHORE O/S Amt,TARUN NO,TARUN AMT,TARUN O/S no,TARUN O/S Amt,TOTAL A/C,TOTAL AMT(SANCTIONED),TOTAL O/S A/C,TOTAL O/S AMT
Baksa,142,53.6,759,401.14,3876,388.61,936,3773.14,29,187.86,284,775.68,4047,630.07,1979,4949.96
Barpeta,7174,2196.96,34404,10659.66,837,2001.75,11485,11174.77,143,1116.23,3734,5723.74,8154,5314.94,49623,27558.17
Biswanath,84,28.9,354,146.59,110,191.16,312,642.47,9,60.86,32,235.49,203,280.92,698,1024.55
Bongaigaon,187,71.78,11019,2056.95,268,637.83,3160,2711.22,95,702.21,225,1702.58,550,1411.82,14404,6470.75
Cachar,512,181.55,33410,8478.25,1149,1936.52,12349,12485.78,106,780.88,3057,5013,1767,2898.95,48816,25977.03
Charaideo,4,1.53,17,7.49,34,76.96,79,161.1,4,32.37,5,42.37,42,110.86,101,210.96
Chirang,29,11.96,3253,594.95,168,320.82,1406,1499.22,30,230.35,62,480.94,227,563.13,4721,2575.11
Darrang,391,144.44,13534,4920.32,318,785.26,7315,7773.54,61,430.09,3168,5954.38,770,1359.79,24017,18648.24
Dhemaji,166,78.43,915,392.64,251,611.82,692,1793.5,59,394.56,216,1462.07,476,1084.81,1823,3648.21
Dhubri,229,83.99,20690,3603.18,341,679.08,7637,4846.85,46,360.9,165,1035.2,616,1123.97,28492,9485.23
Dibrugarh,4157,1168.79,46728,18787.45,903,1996.54,20005,21301.49,314,2495.78,13202,20201.93,5374,5661.11,79935,60290.87
Dima Hasao,55,22.32,291,108.43,118,231.06,293,655.6,18,115.67,45,285.08,191,369.05,629,1049.11
Goalpara,1194,290.85,6460,1488.01,249,489.9,1947,2161.99,31,219.85,201,1353.83,1474,1000.6,8608,5003.83
Golaghat,1317,438.57,31647,10629.77,506,924.27,13840,11589.07,113,857.24,5985,7653.27,1936,2220.08,51472,29872.11
Hailakandi,97,44.44,6698,1146.46,211,438.33,2459,2514.71,29,223.67,105,790.08,337,706.44,9262,4451.25
Hojai,68,31.13,825,350,127,253.76,597,1277.93,29,212.85,78,592.13,224,497.74,1500,2220.06
Jorhat,3655,1283.65,44300,14471.15,984,2086.62,18297,14423.8,199,1346.77,6963,11178.15,4838,4717.04,69560,40073.1
Kamrup Metro,21069,7062.72,85113,29588.26,1773,3387.58,22529,22886.9,356,2659.48,10040,15475.56,23198,13109.78,117682,67950.72
Karbi Anglong,1045,354.09,3640,1052.15,246,589.97,901,1883.27,60,449.93,152,1104.05,1351,1393.99,4693,4039.47
Karimganj,1795,393.12,27349,7729.94,315,638.8,10051,8201.17,64,489.06,3892,5006.46,2174,1520.98,41292,20937.57
Kokrajhar,184,83.02,634,276.25,179,355.24,762,1567.48,25,203.4,100,753.33,388,641.66,1496,2597.06
Lakhimpur,385,162.24,17623,4813.35,513,1246.1,6506,6101.24,91,632.69,1716,3716.98,989,2041.03,25845,14631.57
Majuli,9,4.4,12,5.9,53,88.54,79,138.69,3,1.99,13,37.35,65,94.93,104,181.94
Morigaon,651,246.23,24018,6981.5,545,978.96,11302,9291.36,121,789.32,3254,5043.69,1317,2014.51,38574,21316.55
Nagaon,9649,2991.85,58882,18167.06,1334,2724.17,23908,23141.83,287,2147.01,7266,14190.71,11270,7863.03,90056,55499.6
Nalbari,3319,1077.03,24869,12447.52,551,894.27,13278,11313.94,69,565.1,8176,9152.7,3939,2536.4,46323,32914.16
Sivasagar,874,348.67,33310,10056.45,761,1245.31,12035,10439.23,154,1226.04,5715,8838.43,1789,2820.02,51060,29334.11
Sonitpur,2269,795.25,43073,12379.72,1095,2417.5,15436,14568.13,242,1784.31,4703,7935.21,3606,4997.06,63212,34883.06
South Salmara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,980,321.99,35139,16578.2,1032,2162.32,18386,19737.01,273,1928.23,13058,17291.67,2285,4412.54,66583,53606.88
Udalguri,133,64.69,522,250.71,132,296.82,591,1077.61,26,191.09,54,355.12,291,552.6,1167,1683.44
West Karbi Anglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
