District,Deposit Amount (D),Advance Amount (A),Current C:D Ratio (Cdr-1)
Baksa,84599.73,40935.78,48.39
Barpeta,380210.45,250152.75,65.79
Bongaigaon,270621.07,140074.34,51.76
Cachar,776771.84,319559.55,41.14
Darrang,192754.8,118206.65,61.32
Dhemaji,124222.92,80703.78,64.97
Dhubri,273725.74,154000.93,56.26
Dibrugarh,922759.78,415409.67,45.02
Goalpara,206741.71,92094.47,44.55
Golaghat,311117.04,214776.48,69.03
Hailakandi,146191.08,54552.7,37.32
Jorhat,568334.99,341211.95,60.04
Kamrup Metro,534869.87,368879.14,68.97
Karbi Anglong,129805.72,52049.24,40.1
Karimganj,331217.21,111611.5,33.7
Kokrajhar,247961.17,74567.34,30.07
Lakhimpur,249027.94,183971.14,73.88
Sonitpur,490334.53,306351.92,62.48
Tinsukia,584821.82,306743.45,52.45
Udalguri,113373.75,76288.03,67.29
Morigaon,166749.17,130442.05,78.23
Nagaon,517709.22,341514.6,65.97
Sivasagar,430836.54,233786.88,54.26
Nalbari,240165.42,140446.72,58.48
Chirang,112296.64,48034.13,42.77
Dima Hasao,66757.44,17700.58,26.51
Hojai,197117.65,77821.17,39.48
Charaideo,73503.79,37060.8,50.42
West Karbi Anglong,24083.28,15762.38,65.45
South Salmara,20468.89,7692.71,37.58
Biswanath,120672.8,69127.6,57.29
Majuli,29463.65,15526.93,52.7
