District,CY.SISHU No.,CY.SISHU AMT,Sishu O/S No.,Sishu O/S Amt,CY.KISHORE No.,CY.KISHORE AMT,Kishore O/S No.,Kishore O/S Amt,CY.TARUN No.,CY.TARUN AMT,Tarun O/S No.,Tarun O/S Amt,TOTAL Sanctioned A/C,TOTAL Sanctioned AMT,TOTAL O/S A/C,TOTAL O/S AMT
Baksa,30,10.32,4247,1566.78,56,81.04,3045,5031.53,13,81.54,115,701.39,99,172.9,7407,7299.7
Barpeta,1711,576.25,37596,11598.11,497,717.29,19705,17696.18,64,423.41,496,3506.41,2272,1716.95,57797,32800.7
Biswanath,9,4.11,4559,1633.94,28,45.39,1879,2911.43,4,29.62,101,655.83,41,79.12,6539,5201.2
Bongaigaon,4819,1238.39,13679,4637.16,139,198.2,7976,6432.36,32,232.87,234,1828.8,4990,1669.46,21889,12898.32
Cachar,1339,405.44,28483,8945.01,773,876.7,17669,15404.05,43,295.2,480,3464.49,2155,1577.34,46632,27813.55
Charaideo,75,25.3,2232,791.07,42,55.9,1232,1801.39,2,11.1,60,439.25,119,92.3,3524,3031.71
Chirang,41,17.29,4306,1294.95,63,90.65,3812,4131.93,8,61.86,88,587.22,112,169.8,8206,6014.1
Darrang,2556,629.16,15182,5451.44,177,221.05,9785,9348.58,12,94.09,413,2475.59,2745,944.3,25380,17275.61
Dhemaji,122,46.63,8549,2648.42,93,146.66,4048,5360.82,13,116.1,244,1624.53,228,309.39,12841,9633.77
Dhubri,273,103.53,24818,7090.7,295,385.33,16917,12145.33,24,169.46,231,1493.28,592,658.32,41966,20729.31
Dibrugarh,12595,3000.48,27427,10341.63,583,951.14,15954,14522.17,247,1865.77,1263,8905.16,13425,5817.39,44644,33768.96
Dima Hasao,12,5.62,4733,1347.54,23,48.43,3058,1982.6,1,7,32,215.29,36,61.05,7823,3545.43
Goalpara,667,181.48,8304,2813.07,149,226.5,6336,7604.56,20,170.36,345,2419.8,836,578.34,14985,12837.43
Golaghat,5828,1456.69,27299,7986.91,343,405.93,14443,10936.73,35,266.13,328,2297.1,6206,2128.75,42070,21220.74
Hailakandi,113,43.73,6221,2018.85,109,154.07,5142,4727.2,6,44.6,111,748.64,228,242.4,11474,7494.69
Hojai,199,80.62,2300,835.4,121,209.86,2294,4022.35,9,68.9,232,1765.22,329,359.38,4826,6622.97
Jorhat,12769,3329.7,42896,12458.03,644,811.93,16696,13727.35,66,493.27,586,4778.88,13479,4634.9,60178,30964.26
Kamrup Metro,14202,4437.18,106512,26821.2,1737,1969.52,25359,22969.14,202,1430.65,744,5854.75,16141,7837.35,132615,55645.09
Karbi Anglong,2181,535.07,775,598.51,61,136.02,561,1124.09,22,180.75,84,757.46,2264,851.84,1420,2480.06
Karimganj,977,294.97,18150,5467.96,289,444.65,12722,9857.88,30,250.57,239,1676.83,1296,990.19,31111,17002.67
Kokrajhar,47,12.52,3296,1409.93,28,39.8,2706,4197.28,8,55.87,147,884.93,83,108.19,6149,6492.14
Lakhimpur,3039,766.26,14039,4959.92,251,372.96,9615,10062.97,29,242.87,408,2546,3319,1382.09,24062,17568.89
Majuli,7,1.62,453,191.12,22,51.47,545,851.98,2,14.3,38,209.33,31,67.39,1036,1252.43
Morigaon,292,115.95,20349,6184.27,337,455.38,16793,12126.66,34,250.89,313,2012.34,663,822.22,37455,20323.27
Nagaon,6465,1779.94,57483,15696.88,775,1076.17,33478,27874.76,96,736.15,985,6851.44,7336,3592.26,91946,50423.08
Nalbari,5827,1673.05,26545,8249.98,303,429.09,10592,10357.79,30,236.93,281,1958.3,6160,2339.07,37418,20566.07
Sivasagar,7376,1649.23,18745,6864.98,603,688.66,11520,9385.18,45,345.06,483,3386.08,8024,2682.95,30748,19636.24
Sonitpur,7652,2017.84,41068,12088.96,779,1017.46,20358,17245.38,80,545.78,561,4383.35,8511,3581.08,61987,33717.69
South Salmara,1,0.01,145,60.98,0,0,641,1291.5,0,0,9,68.62,1,0.01,795,1421.1
Tinsukia,11112,2565.08,18076,7189.09,490,813.24,11828,12388.57,105,759.86,676,5201.11,11707,4138.18,30580,24778.77
Udalguri,42,15.69,5082,2148.06,57,99.65,2696,4663.57,8,48.31,84,508.28,107,163.65,7862,7319.91
West Karbi Anglong,0,0,91,45.48,0,0,97,178.15,0,0,11,88.48,0,0,199,312.11
