district,No. of Female Account,Sum of Female Amount,No. of Male Account to SC,Sum of Male Amount to SC,No. of Male Account to ST,Sum of Male Amount to ST
Baksa,95,876.85,107,978.09,92,882.01
Barpeta,5,90.07,5,74.79,1,45
Biswanath,6,71.1,4,50.45,0,0
Bongaigaon,7,44.88,3,23.35,0,0
Cachar,15,260.14,1,21.8,0,0
Charaideo,3,5.5,1,25,2,45
Chirang,0,0,0,0,2,43.5
Darrang,7,75,1,11.5,2,50
Dhemaji,1,20,0,0,0,0
Dhubri,4,17,2,32,0,0
Dibrugarh,24,334.29,8,134.26,6,64.02
Dima Hasao,0,0,0,0,5,87.7
Goalpara,5,102.75,0,0,0,0
Golaghat,5,73.74,1,0.55,0,0
Hailakandi,1,10,0,0,0,0
Hojai,2,10,0,0,0,0
Jorhat,14,87.39,3,47.95,3,36.55
KARIMGANJ,2,26.8,2,15.03,0,0
Kamrup,15,101.88,3,27.31,2,23.5
Kamrup Metro,54,1047.68,17,152.19,14,215.28
Karbi Anglong,0,0,1,0,3,42.3
Kokrajhar,4,33.18,0,0,0,0
Lakhimpur,3,21.2,1,50,6,26.22
Majuli,0,0,0,0,0,0
Morigaon,3,17.73,2,27,0,0
Nagaon,9,61.24,7,59.07,1,3.82
Nalbari,4,65,4,74.64,0,0
Sivasagar,15,235.47,3,31.89,2,23.21
Sonitpur,6,46.85,4,72.3,1,18.49
South Salmara,0,0,0,0,0,0
Tinsukia,18,255.4,2,28,3,33.23
Udalguri,4,76.52,0,0,3,75
West Karbi Anglong,0,0,0,0,0,0
