District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other MSME No.,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt
Baksa,4015,3402.33,14,103.61,0,0,612,829.08,153,14.59,4794,4349.610000000001
Barpeta,6272,6346.8,100,218.04,0,0,269,451.46,102,10.85,6743,7027.150000000001
Biswanath,3228,1777.03,33,119.4,1,7,118,172.31,66,7.59,3446,2083.3300000000004
Bongaigaon,2006,1595.4,69,664.73,6,144.3,381,508.19,54,4.52,2516,2917.1400000000003
Cachar,5563,6571.99,96,1261.32,1,52,239,367.57,2,0.23,5901,8253.109999999999
Charaideo,1589,1330.01,12,172.25,0,6,88,179.69,11,0.79,1700,1688.74
Chirang,1728,1732.61,11,82.97,0,0,666,838.71,13,1.28,2418,2655.57
Darrang,3488,3464.16,31,102.42,1,7.16,469,712.69,77,7.76,4066,4294.1900000000005
Dhemaji,2489,1788.89,26,380.27,0,0,188,277.61,69,5.82,2772,2452.59
Dhubri,4281,3122.45,57,140.43,1,7,449,549.88,162,12.85,4950,3832.6099999999997
Dibrugarh,7984,6844.94,181,3621.26,8,189.53,216,554.21,132,9.92,8521,11219.860000000002
Dima Hasao,118,191.39,7,14,0,0,0,0,0,0,125,205.39
Goalpara,3415,3678.62,15,191.15,0,0,360,498.39,26,4.11,3816,4372.2699999999995
Golaghat,4354,2929.32,81,1157.53,6,18.19,211,284.67,62,4.93,4714,4394.64
Hailakandi,1655,1202.66,37,291.81,0,0,219,305.56,24,2.46,1935,1802.49
Hojai,1588,1900.18,42,170.68,0,0,16,25.06,24,2.22,1670,2098.14
Jorhat,6797,5616.07,170,3590.58,7,584.88,151,241.32,82,7.25,7207,10040.099999999999
Kamrup Metro,8051,7303.27,108,453.05,7,62.14,568,969.81,149,16.55,8883,8804.82
Karbi Anglong,512,592.62,11,112.54,0,0,7,5.68,11,0.6,541,711.4399999999999
Karimganj,2732,2509.77,46,568.96,1,67,110,164.84,8,1.09,2897,3311.6600000000003
Kokrajhar,2659,2618.13,9,74.62,0,0,813,947.11,0,0,3481,3639.86
Lakhimpur,4505,4438.73,124,1102.77,1,36,184,288.1,57,6.23,4871,5871.83
Majuli,531,719.16,3,49,0,0,34,40.58,0,0,568,808.74
Morigaon,3200,3234.25,49,552.1,2,104.01,266,392.31,70,6.82,3587,4289.49
Nagaon,7179,9113.75,198,963.79,2,22.36,398,619.71,241,26.13,8018,10745.74
Nalbari,5528,4957.64,50,248.01,0,0,453,770.62,148,15.25,6179,5991.52
Sivasagar,3548,2499.8,97,1316.29,1,0.77,141,285.24,117,8.75,3904,4110.85
Sonitpur,4774,3903.88,122,1028.27,4,101.4,418,749.76,82,8.76,5400,5792.07
South Salmara,291,460.55,0,0,0,0,189,319.92,0,0,480,780.47
Tinsukia,4505,5183.26,111,1325.33,1,76,156,241.51,20,1.62,4793,6827.72
Udalguri,2993,2294.63,3,19.53,0,0,559,1093.47,27,3.99,3582,3411.62
West Karbi Anglong,154,71.39,1,0.75,0,0,1,0.06,0,0,156,72.2
