District,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt
Baksa,4124,882.98,787,251.48,6748,4336.01,517,832.97,253,789.69,16,72.4,11125,6008.68,1320,1156.85
Barpeta,33355,6980.22,1992,588.91,45765,30034.23,858,1452.36,780,4020.97,30,137.1,79900,41035.42,2880,2178.37
Biswanath,6757,1668.96,666,217.11,15985,9815.88,235,263.68,123,680.04,8,34.51,22865,12164.88,909,515.3
Bongaigaon,16226,3421.43,392,113.94,18451,12015,246,261.62,578,2907.95,20,89.2,35255,18344.38,658,464.76
Cachar,56227,14754.09,1370,211.63,84546,61418.16,373,508.28,838,4450.53,21,98.76,141611,80622.78,1764,818.67
Charaideo,4585,1044.15,466,175.46,5090,3571.63,170,246.31,141,885.29,4,17.41,9816,5501.07,640,439.18
Chirang,4258,1029.1,374,112.96,8070,5738.97,401,593.51,102,573.02,12,57.94,12430,7341.09,787,764.41
Darrang,15147,3244.87,768,237.27,32261,19307.72,599,846.43,531,2894.98,51,222.32,47939,25447.57,1418,1306.02
Dhemaji,8241,1695.64,518,166.66,9182,6717.29,221,319.97,243,1612.37,16,96.56,17666,10025.3,755,583.19
Dhubri,28415,6959.31,684,220.25,41785,28553.16,729,867.55,444,2887.52,32,181.47,70644,38399.99,1445,1269.27
Dibrugarh,30957,5718.74,3014,621.17,38560,25572.25,612,1181.05,1685,7832.61,87,405.63,71202,39123.6,3713,2207.85
Dima Hasao,543,122.26,56,21.14,1024,1870.35,51,51.09,572,2672.02,2,1.28,2139,4664.63,109,73.51
Goalpara,16995,3381.5,632,155.55,19259,11678.1,324,349.68,212,1028.71,12,46.63,36466,16088.31,968,551.86
Golaghat,34509,6574.22,4835,995.38,30659,19722.58,491,652.41,753,5113.87,67,357.92,65921,31410.67,5393,2005.71
Hailakandi,11104,2391.88,252,70.33,12318,9639.15,199,261.26,210,1380.72,15,65.35,23632,13411.75,466,396.94
Hojai,10868,2813.03,474,180.72,17071,13225.97,329,527.66,637,3595.02,52,292.18,28576,19634.02,855,1000.56
Jorhat,52735,9574.76,11466,2026.75,34814,23265.27,558,905.5,1046,5793.16,60,331.68,88595,38633.19,12084,3263.93
Kamrup Metro,64820,12683.86,2531,505.41,74425,45224.57,775,1122.26,1277,5848.25,63,364.23,140522,63756.68,3369,1991.9
Karbi Anglong,3458,571.07,134,39.27,1554,2396.41,161,253.31,1447,6785.64,22,76.16,6459,9753.12,317,368.74
Karimganj,33127,7006.04,978,166.1,33814,24320.14,287,352.15,448,2740.24,11,58.77,67389,34066.42,1276,577.02
Kokrajhar,6045,1136.89,461,156.17,8439,5506.69,439,537.85,88,499.97,3,15.87,14572,7143.55,903,709.89
Lakhimpur,11254,2817.14,933,331.85,32116,16412.24,600,958.41,509,2411.92,50,442.46,43879,21641.3,1583,1732.72
Majuli,533,179.76,156,68.2,403,581.3,65,72.62,49,314.04,3,21.67,985,1075.1,224,162.49
Morigaon,12001,2409.21,842,203.84,22458,16199.69,523,705.43,674,4101.12,52,268.17,35133,22710.02,1417,1177.44
Nagaon,50896,9790.26,3278,617.74,71122,43880.16,1297,1595.16,1292,7220.01,272,1556.14,123310,60890.43,4847,3769.04
Nalbari,28580,5383.5,1609,355.59,28929,17037.4,590,671.52,336,1761.35,24,119.44,57845,24182.25,2223,1146.55
Sivasagar,17836,3254.13,888,266.14,32478,20401.24,360,476.76,689,3573.13,28,141.95,51003,27228.5,1276,884.85
Sonitpur,30862,6466.9,2167,508.37,49309,30232.03,601,907.53,890,4437.47,37,191.8,81061,41136.4,2805,1607.7
South Salmara,194,46.32,28,10.59,274,347.44,78,102.99,20,146.66,2,9.52,488,540.42,108,123.1
Tinsukia,16363,3452.44,706,198.21,27635,19516.58,602,908.13,1153,6392.89,41,237.74,45151,29361.91,1349,1344.08
Udalguri,3164,722.24,686,227.02,3993,3140.8,771,830.8,91,556.08,6,25.12,7248,4419.12,1463,1082.94
West Karbi Anglong,326,55.27,69,18.93,217,388.17,19,26.7,371,1602.14,2,3.22,914,2045.58,90,48.85
