District,Target No. of Projects,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt
Baksa,167,259,901.89,238,468.5,10529,10406.37,3410,3413.96
Barpeta,233,171,701.55,177,388.13,1277,2080.31,788,1330.16
Biswanath,167,56,160.32,59,68.52,259,425.52,153,216.39
Bongaigaon,167,73,141.96,76,94.84,536,729.5,390,542.59
Cachar,167,133,480.33,123,362.77,703,1233.53,435,701.97
Charaideo,167,20,71.29,23,77.66,190,424.68,121,265.83
Chirang,167,74,208.02,76,116.95,1526,1902.41,1191,1460.14
Darrang,167,67,189.62,101,147.32,818,1319.9,631,973.84
Dhemaji,193,130,514.72,143,325.31,711,1669.79,383,775.98
Dhubri,167,295,905.78,325,551.58,1641,2186.27,908,1009.85
Dibrugarh,233,173,684.79,207,486.84,970,1938.85,510,875.67
Dima Hasao,137,42,133.28,41,93.01,198,294.62,61,70.26
Goalpara,167,96,220.69,102,153.5,932,1136.57,608,757.59
Golaghat,176,106,312.18,101,213.04,644,1138.17,399,664.08
Hailakandi,137,91,311.03,91,190.31,514,771.24,311,444.94
Hojai,167,44,186.35,41,118.13,166,325.78,56,105.57
Jorhat,233,114,390.33,124,307.8,494,871.49,269,386.68
Kamrup Metro,233,136,547.92,133,283.64,1251,1760.69,797,1072.07
Karbi Anglong,137,59,134.81,61,83.47,307,329.04,115,108.03
Karimganj,147,128,493.01,128,312.26,475,788.92,215,322.61
Kokrajhar,176,150,394.99,245,292.43,1938,2356,1503,1814.92
Lakhimpur,176,155,648.9,145,491.84,668,1444.47,384,743.86
Majuli,167,18,46.56,17,26.34,91,131,56,75.61
Morigaon,233,88,316.68,88,193.96,573,925.82,406,613.56
Nagaon,233,165,665.54,172,452.81,1032,2051.08,663,1108.5
Nalbari,233,151,520.97,155,327.85,1032,1782.98,666,1088.85
Sivasagar,176,118,400.42,116,343.54,529,1306.99,258,557.68
Sonitpur,176,274,1215.65,344,763.63,1086,2106.13,577,1012.59
South Salmara,137,29,47.99,53,34.1,400,435.82,322,371.5
Tinsukia,176,184,718.62,190,469.81,809,1430.56,391,545.26
Udalguri,167,80,290.55,262,193.05,1734,2701.19,1443,2352.75
West Karbi Anglong,127,1,4.5,1,4.5,19,23.3,14,13.02
