district,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,492895,0,190015,307365,497380,44446,14185.3,327909,205330,19330
Barpeta,846598,351768,585282,778456,1363738,173692,82649.78,894906,623757,45279
Biswanath,273476,39286,142850,215105,357955,28614,12084.6,186421,124666,13196
Bongaigaon,226931,131698,149331,218697,368028,31338,12649.81,298145,186478,12507
Cachar,678853,273282,445315,521857,967172,69427,48350.5,615893,446864,37391
Charaideo,175946,59394,108995,160989,269984,26901,10569.12,161395,107386,3441
Chirang,283720,14051,147870,228336,376206,40178,9551.78,260417,167827,9231
Darrang,490874,200976,343005,485486,828491,105267,28528.58,436867,275986,19811
Dhemaji,466545,112997,276712,366130,642842,33625,15936.56,414968,310516,15320
Dhubri,823736,257684,543451,753814,1297265,186687,34894.18,697871,499736,32714
Dibrugarh,385778,166927,260769,369835,630604,67771,34628.08,437950,307578,18350
Dima Hasao,30938,11707,18263,25133,43396,913,1948.24,28697,19022,2797
Goalpara,394063,192491,254992,388084,643076,71522,14761.24,397142,262154,20200
Golaghat,454211,103703,245846,357922,603768,44529,25353.25,355591,250520,26149
Hailakandi,287414,121599,193627,237071,430698,41494,28824.41,253852,180599,17830
Hojai,310799,253025,250913,334072,584985,46834,30427.77,427428,310905,45816
Jorhat,242937,203017,194695,267403,462098,39062,32469.74,311328,237078,12082
KARIMGANJ,546472,65788,285295,339372,624667,55777,31432.66,361777,276633,25336
Kamrup,707363,89033,362630,502399,865029,79362,32349.62,637838,368086,25824
Kamrup Metro,86517,301811,174915,224002,398917,54863,38310.4,336263,211914,31469
Karbi Anglong,114588,35044,63135,87348,150483,8290,3957.05,87764,52764,11665
Kokrajhar,470270,83468,245672,333029,578701,74912,20097.94,345516,223655,16919
Lakhimpur,493883,216421,324564,425185,749749,36830,28038.24,530480,394893,22359
Majuli,114739,16432,57495,73663,131158,12154,4897.18,66809,57683,4592
Morigaon,417033,220531,289023,379210,668233,46207,41028.36,464098,298287,30734
Nagaon,1050908,379048,632035,833954,1465989,153253,48885.23,881690,563006,192682
Nalbari,318735,92561,173616,258070,431686,46104,19201.15,238494,153876,24677
Sivasagar,244995,67240,140233,192605,332838,20689,20716.71,254971,174625,8581
Sonitpur,425646,185407,276514,421920,698434,86761,23055.88,430127,288614,58070
South Salmara,165135,20598,85769,143557,229326,30932,2550.64,111335,91729,11047
Tinsukia,384634,249466,286987,385017,672004,67578,63008.13,430400,341034,20303
Udalguri,463638,103931,244573,357222,601795,80577,13890.72,350378,249872,10169
West Karbi Anglong,72598,0,28701,43886,72587,3145,4318.32,36787,24910,5601
