district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,36361120,1488612.55,1510047,28120.28,3331,1897.79,2340585,720830.08,221498,16792.28,215083,2964.12
Barpeta,281773799,11597229.23,4894843,113672.48,2852,3021.49,15989698,4805752.46,478963,21121610.84,880517,10026.86
Biswanath,131419354,3493058.77,1484026,27724.19,1134,866.66,5077956,1261120.4,315221,75629.02,210951,3299.41
Bongaigaon,107231599,3663115.85,1722118,38138.31,3081,2317.54,7793179,2118384.66,241659,69271.69,436246,5960.28
Cachar,210259961,7265500.8,3917770,79939.7,6162,3780.22,22101490,5186342.04,611747,363601.54,796399,12536.39
Charaideo,1063493,40501.03,879457,17593.32,620,270.4,132842,243862.51,87462,15873.15,190996,2777.53
Chirang,344026,13646.05,643257,12468.79,717,641.2,28677,57866.49,86198,8720.46,192949,2842.93
Darrang,104019570,4181403.61,1799769,38904.33,2172,1643.37,7314128,2619492.4,306158,58914.91,285931,4043.89
Dhemaji,22084318,734565.97,2143397,38197.36,1404,841.1,2183125,675956.09,218598,65979.98,281558,3907.36
Dhubri,86498712,3695573.98,3368400,77950.97,2664,1530.83,5615492,1506617.4,336828,95781.87,496003,7080.39
Dibrugarh,367688735,11088884.37,4100099,85053.41,8281,4395.54,42524491,10603378.06,1357115,228430.55,1210944,18517.56
Dima Hasao,16062,1578.16,807238,17613.72,647,522.09,2611,127778.51,35510,14661.02,157997,2147.52
Goalpara,102353273,4397192.8,1882838,46387.94,2389,2722.38,6255638,1919157.94,216379,81247.33,297546,4289.01
Golaghat,171582384,5424360.17,2606020,45354.5,1694,2581.63,22488814,5048830.83,593116,12408603.99,535385,8209.93
Hailakandi,11386742,460087.39,1464141,24539.44,983,873.79,1141851,364362.33,119304,54864.84,127944,1975.48
Hojai,114079506,4929939.15,2282115,53228.61,5653,4182.9,15168553,4432124.63,272380,104571.04,276012,4046.05
Jorhat,302763971,8736520.96,2988443,56182.37,6275,2764.12,36996220,7858234.9,858878,31143692.49,975769,14447.91
Kamrup Metro,294489609,9727139.08,3544140,74196.05,2457,2568.62,19406128,5423245.93,925180,94559628.55,709680,10920.26
Karbi Anglong,59353808,2230167.5,1793174,36449.34,725,801.31,5700778,1282710.62,168404,52590.65,316381,5022.32
Karimganj,84461721,3565385.53,2392990,51967.39,2095,1183.33,12849582,12785033.06,247107,55710.18,281033,4293.21
Kokrajhar,46560941,1769024.41,1611144,32566.61,744,710.39,3869529,1106740.63,139591,65792.72,564786,5852.89
Lakhimpur,106719293,3402993.17,2823724,54059.71,1584,1363.34,7704335,1995206.24,357108,143084,403818,6043.2
Majuli,84221,2713.53,336907,5449.21,615,266.6,11594,157689.69,28509,9641.67,38543,528.09
Morigaon,129697012,5059403.3,1163141,27019.52,2312,1910.52,6278042,2685273.14,293043,90011.16,209504,2744.51
Nagaon,202613066,7167736.37,4070331,91959.05,4320,3024.58,14225962,3870878.03,598610,20227970.26,757376,11483.75
Nalbari,74553212,2519103.15,1825398,37131.57,1654,1090.56,5736295,1622371.61,301079,21328863.73,403549,5653.76
Sivasagar,168853349,5185671.2,2512133,50922.16,2848,1885.01,16018377,3763985.47,631049,78577.86,784179,12631.88
Sonitpur,199923194,6487362.19,3918349,75903.12,3851,2637.75,17557112,4047415.84,567503,14851480.55,938916,12994.1
South Salmara,97235,4752.2,399551,11502.35,85,3.17,11653,133704.17,10797,610.57,54726,736.1
Tinsukia,283901188,9938966.77,2914332,58236.54,7160,3688.01,46504863,12400398.82,686688,222419.07,629272,9338.61
Udalguri,3790813,170382.03,1835233,31730.37,774,581.32,428332,255866.04,101358,69198.65,222911,3070.63
West Karbi Anglong,56193,1362.96,649530,11233.5,0,0,153,368.5,24987,1393.11,77197,979.17
