district,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Baksa,0,0,11,26.24,233,727.78,0,0,88,27.34,593,146.11,925,927.47
Barpeta,0,0,35,107.22,195,871.75,1,7.32,527,260.66,924,360.43,1682,1607.38
Biswanath,0,0,16,39.37,78,223.5,0,0,0,0,2582,793.61,2676,1056.48
Bongaigaon,0,0,8,21.18,68,247.87,0,0,120,59.35,4951,1099.67,5147,1428.07
Cachar,0,0,59,122.88,155,672.44,0,0,15,4.67,1790,522.46,2019,1322.45
Charaideo,0,0,11,50.42,19,141.9,0,0,65,25.37,1048,439.34,1143,657.03
Chirang,0,0,10,26.28,25,52.46,0,0,146,81.62,232,71.69,413,232.05
Darrang,0,0,20,39.46,151,417,0,0,58,29.91,1063,551.9,1292,1038.27
Dhemaji,0,0,14,31.84,57,248.21,0,0,28,8.19,302,110.46,401,398.7
Dhubri,0,0,23,70.07,98,372.65,0,0,217,122.85,809,612.38,1147,1177.95
Dibrugarh,0,0,58,195.91,173,1618.91,0,0,22,8,7868,1841.11,8121,3663.93
Dima Hasao,0,0,2,5.74,16,56.71,0,0,0,0,3,11,21,73.45
Goalpara,0,0,16,67.87,87,229.83,1,0.06,483,318.46,1324,310.67,1911,926.89
Golaghat,0,0,27,48.47,68,355.49,0,0,7,2,3710,864.87,3812,1270.83
Hailakandi,0,0,10,15.05,60,278.88,0,0,25,13.39,54,87.55,149,394.87
Hojai,0,0,16,39.1,32,185.47,1,1.19,0,0,622,1868.8,671,2094.56
Jorhat,0,0,46,140.85,138,861.53,0,0,0,0,6354,1361.72,6538,2364.1
KARIMGANJ,0,0,9,25.85,72,283.56,1,4.58,15,2.92,1432,822.02,1529,1138.93
Kamrup,0,0,62,182.37,230,974.95,2,10.41,23,9.56,11660,3032.98,11977,4210.27
Kamrup Metro,0,0,244,792.26,608,9851.17,2,155.1,5,808.18,2611,1056.55,3470,12663.26
Karbi Anglong,0,0,16,37.68,31,120.78,0,0,0,0,477,134.36,524,292.82
Kokrajhar,0,0,6,13.58,31,101.64,0,0,57,41.51,568,211.54,662,368.27
Lakhimpur,0,0,30,83.23,183,905.59,0,0,109,46.96,1904,1773.33,2226,2809.11
Majuli,0,0,5,5.48,34,108.05,0,0,0,0,544,823.46,583,936.99
Morigaon,0,0,14,35.88,211,950.44,0,0,29,12.07,415,1694.45,669,2692.84
Nagaon,0,0,38,123.09,256,1302.61,0,0,3,1.94,2591,1608.48,2888,3036.12
Nalbari,0,0,55,123.62,338,1021.71,0,0,8,4.02,1230,518.59,1631,1667.94
Sivasagar,0,0,21,56.19,104,584.26,3,1.6,20,7.62,4148,1309.53,4296,1959.2
Sonitpur,0,0,56,116.2,258,847.54,0,0,4,1.42,2085,2429.64,2403,3394.8
South Salmara,0,0,8,28.55,16,41.73,0,0,9,6.04,168,241.34,201,317.66
Tinsukia,0,0,37,115.32,103,601.24,1,0,26,7.14,2806,874.69,2973,1598.39
Udalguri,0,0,26,81.98,53,171.28,0,0,0,0,2213,1214.98,2292,1468.24
West Karbi Anglong,0,0,0,0,15,47.3,0,0,9,0.78,2,3.61,26,51.69
