District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri Disb No.,Total IC-Agri Disb Amt
Baksa,52,79,46.67,40,35.27,32,23.24,49,21.86,40,900.85,6,2.21,0,0,0,0,222,306.95,468,1337.05
Barpeta,121,108,177,195,257.6,348,274.69,858,423.04,313,266.18,97,52.61,0,0,4,7.1,1434,1885.5,3357,3343.72
Biswanath,56,82,87.14,106,206.49,24,10.95,34,48.34,71,45.93,12,22.29,0,0,3,4.5,205,905.91,537,1331.55
Bongaigaon,55,37,69.12,83,106.39,340,231.92,232,105.93,71,66.1,14,16.74,1,50.74,4,5.8,823,1026.26,1605,1679
Cachar,161,180,249.15,365,320.87,395,403.57,227,165.65,264,382.34,124,93.62,1,600,0,0,1342,1203.48,2898,3418.68
Charaideo,35,76,78.83,45,46.43,11,30.06,19,19.03,40,22.36,3,4.82,0,0,0,0,29,50.43,223,251.96
Chirang,32,46,21.43,18,24.03,3,1.51,6,12.23,16,14.67,4,3.7,0,0,6,10.85,8,30.13,107,118.55
Darrang,70,130,122.38,111,159.06,55,43.65,659,301.61,57,38.54,52,30.5,1,1.44,9,14.4,725,926.23,1799,1637.81
Dhemaji,45,99,68.08,89,102.88,53,26.09,863,245.18,124,62.63,7,6.74,0,0,8,12.95,342,177.78,1585,702.33
Dhubri,85,196,74.17,124,148.83,69,107.67,61,96.79,100,87.26,10,11.17,1,39.3,0,0,112,239.06,673,804.25
Dibrugarh,183,216,221.07,92,121.6,376,291.55,594,173.54,239,182.7,141,105.61,0,0,2,3,1094,3249.91,2754,4348.98
Dima Hasao,27,3,14.84,25,23.53,3,3.26,8,16.03,5,4.63,0,0,0,0,0,0,63,81.55,107,143.84
Goalpara,67,193,52.27,103,127.68,89,25.85,146,76.4,123,92.87,14,5.6,0,0,6,7.95,192,280.14,866,668.76
Golaghat,118,69,132.09,131,185.02,27,24.56,501,214.98,85,66.03,7,6.37,1,125.09,2,3,700,1722.02,1523,2479.16
Hailakandi,44,43,72.4,58,105.66,43,53.78,19,60.66,113,111.97,11,7.89,1,810,9,12.5,455,424.8,752,1659.66
Hojai,61,32,102.45,143,143.99,17,22.78,246,113.44,72,50.88,9,13.29,0,0,4,6.25,184,374.83,707,827.91
Jorhat,135,87,120.74,60,80.89,70,101.16,125,62,110,85.84,21,38.54,1,2,5,11,791,1781.7,1270,2283.87
Kamrup Metro,167,181,239.62,350,381.72,1199,538.36,1431,599.68,454,455.35,48,35.94,1,0.8,2,1.85,1364,1450.87,5030,3704.19
Karbi Anglong,63,60,37.15,13,18.75,32,10.73,87,35.72,29,32.41,16,11.1,0,0,0,0,216,639.57,453,785.43
Karimganj,87,66,135.46,216,271.06,45,36.88,101,167.32,121,76.41,12,19.18,0,0,9,9.89,234,446.06,804,1162.26
Kokrajhar,51,135,20.92,28,17.38,160,90.87,31,9.03,118,115.99,12,33.36,0,0,0,0,65,62.17,549,349.72
Lakhimpur,89,98,184.77,230,239.65,101,60.39,672,237.34,237,227.68,63,133.6,0,0,9,10.19,284,509.7,1694,1603.32
Majuli,13,11,17.53,28,33.15,0,0,5,9.38,10,20.05,9,4.73,0,0,0,0,8,15.07,71,99.91
Morigaon,69,332,251.13,168,158.28,196,188.63,142,106.98,112,68.21,121,120.41,0,0,8,15.17,432,651.61,1511,1560.42
Nagaon,150,229,272.98,366,469.68,107,62.8,1237,502.3,339,236,43,50.31,2,62.5,9,12,867,1233.4,3199,2901.97
Nalbari,84,297,102.58,104,137.36,180,127.8,1619,446.06,234,140.09,126,22.28,0,0,2,3.5,551,942.51,3113,1922.18
Sivasagar,95,163,123.81,142,142.92,358,191.9,720,203.83,396,328.54,40,24.9,0,0,5,0,507,1042.51,2331,2058.41
Sonitpur,122,376,222.18,159,187.16,73,49.6,742,236.1,335,270.35,25,21.14,0,0,4,3,448,905.75,2162,1895.28
South Salmara,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,149,149,186.92,135,143.8,373,421.35,1051,249.58,166,203.15,18,15.2,0,0,4,6.45,722,5821.32,2618,7047.77
Udalguri,45,100,14.29,10,16,4,0.18,10,8.6,139,62.57,7,8.66,0,0,0,0,22,22.93,292,133.23
West Karbi Anglong,22,1,1.5,0,0,4,1.42,0,0,1,4.26,1,1.37,0,0,0,0,16,25.17,23,33.72
