district,Total Branch,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Baksa,52,0,0,11,25.74,217,688.09,0,0,81,25.13,1167,314.87,1476,1053.83
Barpeta,121,0,0,36,106.28,177,734.31,1,7.32,521,254.21,7095,2305.89,7830,3408.01
Biswanath,56,0,0,17,46.45,75,221.49,0,0,0,0,4209,1470.64,4301,1738.58
Bongaigaon,55,0,0,8,21.12,62,208.99,0,0,120,57.56,5299,1539.76,5489,1827.43
Cachar,161,0,0,63,131.92,151,654.02,0,0,10,4.55,11151,3905.5,11375,4695.99
Charaideo,35,0,0,11,49.57,18,131.98,0,0,63,24.91,1543,611.29,1635,817.75
Chirang,32,0,0,11,27.77,21,41.66,0,0,146,76.98,1008,304.22,1186,450.63
Darrang,70,0,0,22,42.14,145,421.77,0,0,57,28.33,4649,1717.68,4873,2209.92
Dhemaji,45,0,0,15,37.79,51,229.01,0,0,22,7.34,1019,341.2,1107,615.34
Dhubri,85,0,0,24,68.7,88,336.35,0,0,217,120.37,7130,2826.22,7459,3351.64
Dibrugarh,183,0,0,57,186.6,159,1351.99,0,0,21,7.81,10357,2753.38,10594,4299.78
Dima Hasao,27,7,7.19,12,6.26,23,58.19,0,0,0,0,4,11.17,46,82.81
Goalpara,67,0,0,16,58.85,83,246.53,1,0.06,478,311.7,3421,1007.88,3999,1625.02
Golaghat,118,0,0,31,61.12,65,312.19,0,0,7,1.82,6537,1756.05,6640,2131.18
Hailakandi,44,0,0,11,22.55,59,252.47,0,0,24,13.03,2322,850.17,2416,1138.22
Hojai,61,0,0,15,34.17,31,177.59,1,1.19,0,0,2729,2767.38,2776,2980.33
Jorhat,135,1,7.19,48,150.81,201,739.83,0,0,0,0,11309,2907.71,11559,3805.54
KARIMGANJ,87,0,0,9,25.72,74,289.99,1,4.35,11,3.18,7262,2701.41,7357,3024.65
Kamrup,167,0,0,68,184.98,290,881.07,2,10.41,20,8.23,21875,4832.38,22255,5917.07
Kamrup Metro,417,1,0,262,835.73,742,8831.1,2,154.03,4,338.17,18712,3783.48,19723,13942.51
Karbi Anglong,63,0,0,15,37.4,27,100.98,0,0,0,0,530,148.92,572,287.3
Kokrajhar,51,0,0,7,16.58,28,98.98,0,0,57,40.8,2235,685.98,2327,842.34
Lakhimpur,89,0,0,32,87.58,167,768.97,0,0,106,45.49,4336,2717.07,4641,3619.11
Majuli,13,0,0,6,6.08,34,107.59,0,0,0,0,489,817.87,529,931.54
Morigaon,69,0,0,13,28.76,207,935.94,0,0,29,11.67,2079,2355.01,2328,3331.38
Nagaon,150,0,0,42,126.56,266,1217.24,0,0,3,1.94,13234,4676.89,13545,6022.63
Nalbari,84,4,0,56,126.73,370,971.78,0,0,7,3.53,7207,1971.73,7644,3073.77
Sivasagar,95,0,0,23,64.5,87,444.26,2,0.67,20,7.62,14527,4320.64,14659,4837.69
Sonitpur,122,0,0,57,120.53,247,798.12,0,0,4,1.42,7727,3917.8,8035,4837.87
South Salmara,10,0,0,8,28.35,15,38.73,0,0,8,5.53,168,236.71,199,309.32
Tinsukia,149,0,0,44,140.04,105,619.7,1,0,25,6.74,4273,1489.93,4448,2256.41
Udalguri,45,1,0,26,76.31,42,130.85,0,0,0,0,2647,1327.78,2716,1534.94
West Karbi Anglong,22,0,0,0,0,11,22.78,0,0,9,0.78,2,3.61,22,27.17
