District,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Baksa,52,0,0,2,18.87,1,22.77,3,41.64,6,66.1,0,0,0
Barpeta,121,8,142.85,2,5.15,2,20.61,12,168.61,55,752.96,4,87.83,11.66
Biswanath,56,4,13.64,4,58.45,2,31.8,10,103.89,22,273.85,0,0,0
Bongaigaon,55,12,165.4,5,26.5,7,81.05,24,272.95,65,813.39,6,44.63,5.49
Cachar,161,11,190.8,1,21.83,0,0,12,212.63,62,719.4,3,24.79,3.45
Charaideo,35,10,109.07,1,20.65,1,13.28,12,143,31,340.71,0,0,0
Chirang,32,3,59.2,1,1.13,2,43.5,6,103.83,12,286.92,0,0,0
Darrang,70,8,57.9,4,54.19,1,15.13,13,127.22,38,476.05,4,47.5,9.98
Dhemaji,45,3,39.5,1,45,1,45,5,129.5,12,122.82,1,9.57,7.79
Dhubri,85,11,94.05,0,0,2,10.29,13,104.34,32,567.88,1,8.78,1.55
Dibrugarh,183,48,581.55,10,154.87,3,47.15,61,783.57,149,2282.95,9,149.04,6.53
Dima Hasao,27,0,0,2,4,2,17.67,4,21.67,14,108.69,0,0,0
Goalpara,67,2,21.5,1,1.03,2,19.8,5,42.33,17,125.16,2,13.34,10.66
Golaghat,118,10,98.49,1,18.68,1,34,12,151.17,59,796.02,1,8.83,1.11
Hailakandi,44,1,10,3,30.76,0,0,4,40.76,11,210.49,2,41.67,19.8
Hojai,61,3,26.42,0,0,1,7.98,4,34.4,17,149.4,0,0,0
Jorhat,135,8,119.1,2,51,2,33.06,12,203.16,69,751.47,8,61.94,8.24
Kamrup Metro,167,11,53.82,1,7.18,0,0,12,61,50,531.31,4,52.24,9.83
Karbi Anglong,63,3,46.7,3,0,4,10.71,10,57.41,23,428.27,2,8.64,2.02
Karimganj,87,2,33,2,20.25,0,0,4,53.25,19,228.98,1,8.89,3.88
Kokrajhar,51,6,62.71,0,0,0,0,6,62.71,16,308.61,0,0,0
Lakhimpur,89,5,69.03,2,31.05,6,62.65,13,162.73,48,681.26,11,123.58,18.14
Majuli,13,2,18.24,2,18.54,0,0,4,36.78,4,32.63,0,0,0
Morigaon,69,5,42.93,1,10,0,0,6,52.93,31,200.09,2,13.52,6.76
Nagaon,150,18,173.32,2,16.77,0,0,20,190.09,82,964.77,8,52.38,5.43
Nalbari,84,8,59.62,2,19.89,0,0,10,79.51,29,447.11,0,0,0
Sivasagar,95,12,140.49,1,8.87,1,2.64,14,152,55,825.72,6,96.48,11.68
Sonitpur,122,16,159.31,0,0,4,68.99,20,228.3,141,1865.31,4,29.02,1.56
South Salmara,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,149,32,411.55,5,80.24,4,88.43,41,580.22,95,1491.33,0,0,0
Udalguri,45,1,0.18,1,9.15,0,0,2,9.33,10,150.01,9,97.34,64.89
West Karbi Anglong,22,0,0,0,0,1,1.53,1,1.53,2,19.38,0,0,0
