district,Total Branch,Agricult ure (NPS) No.,Agricultur e (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Baksa,53,0,0.00,0,0.00,0,0.00,0,0.00,57,578.47,457,1370.32,2207,10535.80,2721,12484.59
Barpeta,123,0,0.00,1,5.00,0,0.00,0,0.00,204,2288.33,1996,7039.42,12222,46334.79,14423,55667.54
Biswanath,57,7,4.14,0,0.00,0,0.00,0,0.00,95,723.03,485,1628.12,2842,9310.51,3429,11665.80
Bongaigaon,56,0,0.00,0,0.00,0,0.00,1,22.96,329,3052.03,1210,4648.72,7846,31584.39,9386,39308.10
Cachar,160,3,14.48,1,82.35,0,0.00,2,59.15,261,3034.40,2605,8464.76,21310,70147.81,24182,81802.95
Charaideo,35,0,0.00,0,0.00,0,0.00,0,0.00,35,325.81,191,453.76,1507,7967.70,1733,8747.27
Chirang,33,3,2.00,0,0.00,0,0.00,0,0.00,80,537.19,293,787.61,1645,10360.23,2021,11687.03
Darrang,69,0,0.00,0,0.00,0,0.00,0,0.00,211,2173.63,1180,4046.65,6159,24806.68,7550,31026.96
Dhemaji,45,5,1.88,3,24.90,0,0.00,1,12.94,158,1374.11,1022,4035.05,5569,20047.38,6758,25496.26
Dhubri,87,3,0.10,1,10.00,0,0.00,0,0.00,179,995.86,943,2997.66,7634,29000.46,8760,33004.08
Dibrugarh,180,5,4.50,2,162.87,0,0.00,4,98.42,449,6006.17,4166,17728.86,23873,77193.42,28499,101194.24
Dima Hasao,29,0,0.00,0,0.00,0,0.00,0,0.00,15,205.74,307,744.99,1229,6290.69,1551,7241.42
Goalpara,67,4,1.11,0,0.00,0,0.00,0,0.00,122,859.63,734,2407.93,4086,16288.21,4946,19556.88
Golaghat,115,9,321.89,0,0.00,0,0.00,1,10.60,257,2577.63,1894,6684.10,10537,44879.28,12698,54473.50
Hailakandi,44,3,1.90,0,0.00,0,0.00,0,0.00,57,465.58,323,1107.27,3346,11369.51,3729,12944.26
Hojai,58,5,0.68,2,7.00,0,0.00,0,0.00,93,761.79,571,2003.98,3401,14902.62,4072,17676.07
Jorhat,135,2,31.37,6,190.48,0,0.00,3,63.44,741,6839.48,3025,10810.48,17429,58898.45,21206,76833.70
KARIMGANJ,87,2,0.00,0,0.00,0,0.00,1,3.30,47,501.83,944,3560.08,5422,17251.31,6416,21316.52
Kamrup,165,9,7.20,0,0.00,0,0.00,2,31.47,523,8379.44,5222,23376.42,28546,140804.27,34302,172598.80
Kamrup Metro,419,4,85.52,12,1116.83,0,0.00,35,643.18,3060,45969.37,9840,45726.23,94667,640515.38,107618,734056.51
Karbi Anglong,65,0,0.00,0,0.00,0,0.00,0,0.00,71,678.81,789,2430.50,4891,21797.38,5751,24906.69
Kokrajhar,51,1,0.01,0,0.00,0,0.00,1,16.31,221,2024.69,858,3673.25,6250,23577.18,7331,29291.44
Lakhimpur,87,2,2.00,1,105.76,0,0.00,3,27.29,297,2965.90,1584,6565.69,8709,31749.20,10596,41415.84
Majuli,13,0,0.00,0,0.00,0,0.00,0,0.00,36,104.63,254,1537.65,456,2561.03,746,4203.31
Morigaon,67,6,2.01,0,0.00,0,0.00,1,26.68,77,987.84,810,3776.11,4082,16887.39,4976,21680.03
Nagaon,150,0,0.00,2,25.58,0,0.00,0,0.00,393,3584.51,2055,8773.50,14273,64457.31,16723,76840.90
Nalbari,84,1,0.56,3,119.40,0,0.00,0,0.00,328,3685.59,1595,6896.48,7816,27065.82,9743,37767.85
Sivasagar,96,0,0.00,1,5.70,0,0.00,3,36.91,323,3647.14,2461,11428.25,15006,51723.32,17794,66841.32
Sonitpur,123,1,0.00,0,0.00,0,0.00,5,79.24,573,6408.75,2533,9614.75,15103,55112.14,18215,71214.88
South Salmara,11,0,0.00,0,0.00,0,0.00,0,0.00,41,12.85,51,168.87,390,2671.39,482,2853.11
Tinsukia,147,4,67.58,3,328.00,0,0.00,2,19.86,310,4228.35,2248,9471.25,12507,56166.02,15074,70281.06
Udalguri,47,0,0.00,0,0.00,0,0.00,0,0.00,132,272.44,435,883.96,3129,16741.90,3696,17898.30
West Karbi Anglong,22,0,0.00,0,0.00,0,0.00,0,0.00,15,50.81,79,129.70,525,2617.86,619,2798.37
