District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Baksa,53,38676,27119.89,10886,5970.76,22.02,16982,17448.61,5171,4247.19,24.34,7165,11131.46,977,856.37,7.69,62823,55699.96,17034,11074.32,19.88
Barpeta,123,108683,68766.38,36679,17080.04,24.84,34199,67133.93,8059,8998.06,13.40,42702,44410.87,2267,1449.18,3.26,185584,180311.18,47005,27527.28,15.27
Biswanath,57,46168,32562.85,10863,5739.89,17.63,14094,23427.49,2943,2110.98,9.01,18971,20677.18,2330,934.44,4.52,79233,76667.52,16136,8785.31,11.46
Bongaigaon,56,28280,22921.09,5277,2148.75,9.37,16492,47736.17,2017,2548.89,5.34,22384,24519.41,1885,726.41,2.96,67156,95176.67,9179,5424.05,5.70
Cachar,160,85670,64239.21,21665,13428.18,20.90,37956,111519.96,5417,9096.65,8.16,86134,61205.73,2208,1602.49,2.62,209760,236964.90,29290,24127.32,10.18
Charaideo,35,19921,13901.96,3473,2372.91,17.07,5538,11126.46,1734,2029.24,18.24,5815,7634.92,868,568.66,7.45,31274,32663.34,6075,4970.81,15.22
Chirang,33,27651,20031.50,8602,4685.18,23.39,10136,13911.45,2828,2938.37,21.12,10440,9590.51,1036,206.50,2.15,48227,43533.46,12466,7830.05,17.99
Darrang,69,67428,41385.89,20896,10974.81,26.52,16737,33837.39,4640,6002.54,17.74,27553,23453.08,1676,1007.08,4.29,111718,98676.36,27212,17984.43,18.23
Dhemaji,45,45487,30910.83,11459,6516.44,21.08,19026,22352.01,2541,3289.58,14.72,8801,17857.99,569,378.93,2.12,73314,71120.83,14569,10184.95,14.32
Dhubri,87,55693,34185.07,18031,8789.91,25.71,18748,33727.53,5459,4364.94,12.94,41507,31408.67,1435,1133.67,3.61,115948,99321.27,24925,14288.52,14.39
Dibrugarh,180,118804,94275.23,42802,21835.39,23.16,46961,178874.37,9841,14731.81,8.24,37222,59204.44,3541,2875.88,4.86,202987,332354.04,56184,39443.08,11.87
Dima Hasao,29,3214,2188.34,909,352.87,16.13,2852,4386.30,230,206.04,4.70,647,3697.21,23,60.83,1.65,6713,10271.85,1162,619.74,6.03
Goalpara,67,50515,30636.86,12300,7208.89,23.53,19201,26484.38,5050,4684.32,17.69,19517,17913.31,2231,994.21,5.55,89233,75034.55,19581,12887.42,17.18
Golaghat,115,98523,68410.13,35353,14615.44,21.36,22895,53264.58,4965,5090.81,9.56,36927,33084.47,2433,1056.06,3.19,158345,154759.18,42751,20762.31,13.42
Hailakandi,44,25928,17199.54,8076,4138.58,24.06,8478,18665.98,1813,2218.12,11.88,15466,12981.87,150,378.11,2.91,49872,48847.39,10039,6734.81,13.79
Hojai,58,36019,22100.32,9281,4876.17,22.06,14710,22062.17,2308,1912.36,8.67,20368,30838.25,581,2096.60,6.80,71097,75000.74,12170,8885.13,11.85
Jorhat,135,86530,70491.62,31435,12921.80,18.33,31227,126921.43,6383,8474.16,6.68,33099,51358.94,5992,2352.54,4.58,150856,248771.99,43810,23748.50,9.55
Kamrup Metro,165,134220,80248.53,38063,19401.87,24.18,45737,104427.71,9999,11346.88,10.87,72248,59739.50,13851,3265.42,5.47,252205,244415.74,61913,34014.17,13.92
Karbi Anglong,65,49830,28292.55,9343,4228.55,14.95,13328,13051.88,1270,1040.29,7.97,5877,24248.33,631,336.42,1.39,69035,65592.76,11244,5605.26,8.55
Karimganj,87,47849,35747.97,12597,6625.47,18.53,15830,31539.11,4278,3691.46,11.70,39448,27462.20,1152,1162.19,4.23,103127,94749.28,18027,11479.12,12.12
Kokrajhar,51,32794,23978.27,9086,5403.47,22.53,8943,18768.46,3747,4009.61,21.36,18712,17644.40,1177,386.11,2.19,60449,60391.13,14010,9799.19,16.23
Lakhimpur,87,106452,65654.91,28836,14924.26,22.73,37239,57275.86,5493,6756.51,11.80,23969,44423.57,2354,2424.49,5.46,167660,167354.34,36683,24105.26,14.40
Majuli,13,8146,5887.63,2703,1661.01,28.21,3517,6093.82,626,584.18,9.59,1440,10358.78,647,948.88,9.16,13103,22340.23,3976,3194.07,14.30
Morigaon,67,70742,49309.71,16195,9484.41,19.23,14853,26133.45,3090,3854.51,14.75,18868,35324.54,622,2504.86,7.09,104463,110767.70,19907,15843.78,14.30
Nagaon,150,170926,99886.00,57357,22781.70,22.81,27858,81464.70,6298,10689.25,13.12,59219,63507.91,4429,3202.50,5.04,258003,244858.61,68084,36673.45,14.98
Nalbari,84,77150,43587.54,26915,9595.68,22.01,18717,33882.19,5969,6543.19,19.31,27333,34290.43,4551,1951.94,5.69,123200,111760.16,37435,18090.81,16.19
Sivasagar,96,67715,39182.06,17742,7535.04,19.23,23140,70745.14,4833,5042.93,7.13,23220,34468.87,2013,1345.88,3.90,114075,144396.07,24588,13923.85,9.64
Sonitpur,123,80486,52866.67,18548,9449.86,17.87,27754,90283.02,6218,8296.00,9.19,38955,57630.60,5023,3452.77,5.99,147195,200780.29,29789,21198.63,10.56
South Salmara,11,3240,1976.60,2012,967.56,48.95,1604,3185.45,995,1337.68,41.99,529,3134.06,232,300.86,9.60,5373,8296.11,3239,2606.10,31.41
