District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Baksa,53,605.03,179,36.36,0,0.00,0,0.00,0,0.00
Barpeta,123,1760.84,415,104.18,0,0.00,0,0.00,0,0.00
Biswanath,57,870.32,49,33.29,0,0.00,0,0.00,0,0.00
Bongaigaon,56,930.50,179,41.37,0,0.00,0,0.00,0,0.00
Cachar,160,1538.48,766,290.36,0,0.00,0,0.00,0,0.00
Charaideo,35,267.73,8,2.42,0,0.00,0,0.00,0,0.00
Chirang,33,508.72,68,15.36,0,0.00,0,0.00,0,0.00
Darrang,69,1448.51,114,12.68,0,0.00,0,0.00,0,0.00
Dhemaji,45,1141.61,126,37.43,0,0.00,0,0.00,0,0.00
Dhubri,87,761.96,315,12.49,0,0.00,0,0.00,0,0.00
Dibrugarh,180,2654.20,363,286.02,0,0.00,0,0.00,0,0.00
Dima Hasao,29,42.91,0,0.00,0,0.00,0,0.00,0,0.00
Goalpara,67,914.03,123,76.82,0,0.00,0,0.00,0,0.00
Golaghat,115,2590.90,76,45.92,0,0.00,0,0.00,0,0.00
Hailakandi,44,591.80,149,40.03,0,0.00,0,0.00,0,0.00
Hojai,58,390.18,78,28.68,0,0.00,0,0.00,0,0.00
Jorhat,135,1287.21,211,31.18,0,0.00,0,0.00,0,0.00
Kamrup Metro,165,1481.54,212,118.28,0,0.00,0,0.00,0,0.00
Karbi Anglong,65,4010.65,472,146.92,0,0.00,0,0.00,0,0.00
Karimganj,87,198.59,37,10.88,0,0.00,0,0.00,0,0.00
Kokrajhar,51,1418.65,207,55.17,0,0.00,0,0.00,0,0.00
Lakhimpur,87,1208.41,2790,67.40,0,0.00,0,0.00,0,0.00
Majuli,13,149.38,27,18.34,0,0.00,0,0.00,0,0.00
Morigaon,67,668.64,408,194.56,0,0.00,0,0.00,0,0.00
Nagaon,150,1526.25,283,69.34,0,0.00,0,0.00,0,0.00
Nalbari,84,1134.37,71,9.13,0,0.00,0,0.00,0,0.00
Sivasagar,96,802.29,59,18.63,0,0.00,0,0.00,0,0.00
Sonitpur,123,1419.78,713,143.12,0,0.00,0,0.00,0,0.00
South Salmara,11,31.90,0,0.00,0,0.00,0,0.00,0,0.00
Tinsukia,147,4236.03,43,31.21,0,0.00,0,0.00,0,0.00
Udalguri,47,691.30,51,20.96,0,0.00,0,0.00,0,0.00
West Karbi Anglong,22,620.91,18,6.84,0,0.00,0,0.00,0,0.00
