District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Total Non Prio Sec NPA No.,Total Non Prio Sec NPA Amt
Baksa,53,0,0.00,0,0.00,2,33.70,489,582.50,456,528.96,947,1145.16
Barpeta,123,0,0.00,0,0.00,13,65.21,560,549.99,1633,1700.54,2206,2315.74
Biswanath,57,5,1.85,0,0.00,2,9.00,136,109.39,271,294.45,414,414.69
Bongaigaon,56,0,0.00,0,0.00,3,35.90,132,108.19,950,1659.40,1085,1803.49
Cachar,160,3,268.20,0,0.00,19,160.54,250,259.22,2616,2220.89,2888,2908.85
Charaideo,35,0,0.00,0,0.00,3,49.00,73,93.79,245,177.20,321,319.99
Chirang,33,0,0.00,0,0.00,1,4.00,79,47.89,586,505.65,666,557.54
Darrang,69,1,1.25,0,0.00,3,42.85,316,279.03,659,724.30,979,1047.43
Dhemaji,45,0,0.00,0,0.00,1,0.37,87,136.93,484,760.37,572,897.67
Dhubri,87,0,0.00,0,0.00,2,28.41,510,463.69,1555,1243.33,2067,1735.43
Dibrugarh,180,2,2.97,0,0.00,17,320.70,416,453.63,2163,1915.00,2598,2692.30
Dima Hasao,29,0,0.00,0,0.00,8,55.00,37,87.33,261,214.82,306,357.15
Goalpara,67,0,0.00,0,0.00,1,0.09,207,189.35,613,533.59,821,723.03
Golaghat,115,0,0.00,0,0.00,12,117.01,184,167.81,1026,737.41,1222,1022.23
Hailakandi,44,318,131.06,0,0.00,5,29.76,94,130.20,559,353.75,976,644.77
Hojai,58,0,0.00,0,0.00,3,3.48,27,34.97,742,683.10,772,721.55
Jorhat,135,0,0.00,0,0.00,19,224.39,458,339.02,2334,5600.93,2811,6164.34
Kamrup Metro,165,0,0.00,0,0.00,24,262.29,567,748.51,3155,2820.01,3746,3830.81
Karbi Anglong,65,1,1.07,0,0.00,6,36.35,100,181.60,580,720.91,687,939.93
Karimganj,87,0,0.00,0,0.00,9,64.83,90,103.39,530,682.94,629,851.16
Kokrajhar,51,0,0.00,0,0.00,0,0.00,223,156.97,945,956.02,1168,1112.99
Lakhimpur,87,11,6.84,0,0.00,5,29.31,236,292.98,1211,1235.47,1463,1564.60
Majuli,13,0,0.00,0,0.00,1,4.00,73,70.40,123,136.68,197,211.08
Morigaon,67,2,1.27,0,0.00,2,31.04,427,730.07,438,420.60,869,1182.98
Nagaon,150,0,0.00,0,0.00,12,116.92,505,614.12,2313,2202.96,2830,2934.00
Nalbari,84,0,0.00,0,0.00,22,115.06,639,787.90,1301,1299.43,1962,2202.39
Sivasagar,96,0,0.00,1,0.11,7,73.02,208,370.70,1859,1164.51,2075,1608.34
Sonitpur,123,0,0.00,0,0.00,14,97.01,572,478.54,1717,1335.90,2303,1911.45
South Salmara,11,0,0.00,0,0.00,0,0.00,60,73.17,184,273.89,244,347.06
Tinsukia,147,0,0.00,0,0.00,9,84.20,414,374.09,2180,15330.11,2603,15788.40
Udalguri,47,0,0.00,0,0.00,1,5.00,171,154.31,627,722.67,799,881.98
West Karbi Anglong,22,0,0.00,0,0.00,0,0.00,31,82.12,139,137.31,170,219.43
