district,No. of camps conducted during the June'22 Quarter of FY(2022-23),No. of camps conducted during the Sept'22 Quarter of FY(2022-23),No. of camps conducted during the Dec'22 Quarter of FY(2022-23),No. of camps conducted during the Mar23 Quarter of FY(2022-23),Total No. of Camps during the FY(2022- 23)
Baksa,42,59,49,NOT YET,150
Barpeta,31,60,196,,287
Biswanath,25,30,84,,139
Bongaigaon,7,29,0,,36
CHORAIDEO,27,29,91,,147
Cachar,21,18,34,,73
Chirang,4,3,6,,13
Darrang,1,2,28,,31
Dhemaji,19,24,0,,43
Dhubri,23,24,62,,109
Dibrugarh,4,7,14,,25
Goalpara,5,24,10,,39
Golaghat,74,222,0,,296
Hailakandi,0,8,6,,14
Hojai,16,16,42,,74
Jorhat,21,28,62,,111
KARIMGANJ,32,10,6,,48
Kamrup,46,80,78,,204
Kamrup Metro,20,40,48,,108
Karbi Anglong,2,10,0,,12
Kokrajhar,21,25,76,,122
Lakhimpur,8,8,0,,16
Majuli,15,16,40,,71
Morigaon,0,7,16,,23
NORTH CACHAR HILLS,45,54,18,,117
Nagaon,4,8,0,,12
Nalbari,14,14,14,,42
SIVSAGAR,38,14,14,,66
Sonitpur,15,89,4,,108
South Salmara,0,11,0,,11
Tinsukia,12,6,32,,50
Udalguri,9,9,36,,54
West Karbi Anglong,11,0,6,,17
