district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Baksa,56,"5,163","10,440.59",344,686.12,92,62.71,48,34.66,7,1.19,"1,165","1,720.69",816,"1,132.90","5,978","9,248.48","1,058",515.40,6,41.31,0,0
Barpeta,121,"7,290","13,874.91",411,664.70,481,273.42,795,847.61,244,69.01,"1,825","3,589.22",830,"2,002.86","10,394","13,212.89","1,548","1,062.68",69,"1,021.94",9,126.38
Biswanath,55,"6,491","11,444.76",746,902.43,191,206.21,48,57.53,1,0.42,397,665.00,152,196.24,"7,715","10,022.78","1,747",914.02,27,335.84,0,0
Bongaigaon,57,"3,474","6,290.67",221,273.07,50,29.77,72,110.13,23,10.29,676,881.85,360,449.47,"4,000","5,988.72",248,133.45,66,625.40,10,78.31
Cachar,160,"4,223","6,100.30",536,679.56,203,89.36,237,361.87,15,7.38,"1,795","2,693.73",576,878.90,"6,916","7,465.44","1,199",746.73,67,885.77,6,58.26
Charaideo,35,"3,001","4,344.32",299,334.89,122,47.12,2,3.73,0,0,297,499.55,178,287.75,"3,693","4,802.12",278,151.75,12,200.35,0,0
Chirang,35,"3,583","5,217.31",229,256.88,124,78.90,41,36.76,3,3.08,"1,405","1,697.36","1,168","1,313.81","3,867","5,581.56",598,460.77,19,324.48,1,16.39
Darrang,68,"4,752","9,230.87",281,416.27,175,164.37,245,836.14,5,5.78,889,"1,478.90",539,826.65,"6,588","8,632.60","1,258",981.45,35,514.82,10,98.29
Dhemaji,45,"5,898","11,698.74",961,986.73,211,83.03,72,597.41,3,2.80,971,"2,265.67",366,747.40,"7,629","11,378.83",945,388.76,12,116.62,1,9.57
Dhubri,86,"6,220","7,406.67",515,465.14,359,105.82,247,154.97,200,108.84,"1,891","2,761.66","1,086","1,780.69","7,147","8,392.71","1,311",621.87,37,623.20,1,8.78
Dibrugarh,180,"6,294","12,380.63",381,585.70,204,97.18,428,"1,042.18",39,22.52,"1,561","3,112.15",628,"1,035.90","9,296","12,779.02",494,246.32,195,"2,954.76",18,312.85
Dima Hasao,29,769,"1,182.19",397,428.44,11,4.96,25,28.55,0,0,259,493.95,50,149.76,"1,254","1,676.28",85,31.80,9,79.83,0,0
Goalpara,67,"5,186","7,857.73",503,780.17,279,148.70,60,44.67,4,1.95,"1,025","1,233.68",583,789.51,"6,737","8,431.52","1,024",547.60,24,221.21,7,34.20
Golaghat,118,"7,186","17,623.84",503,707.31,123,97.54,104,289.03,11,7.07,"1,207","1,750.73",505,771.58,"8,249","13,718.87",564,310.28,61,829.82,2,19.70
Hailakandi,44,"2,314","2,975.59",121,118.52,181,80.49,229,270.62,23,23.08,760,"1,272.31",342,477.25,"2,764","3,020.81",583,294.19,10,206.07,0,0
Hojai,54,"3,021","5,576.65",248,286.92,204,124.79,131,107.95,0,0,557,776.59,192,220.08,"4,283","5,197.07",566,332.41,35,510.05,1,4.62
Jorhat,135,"5,196","11,462.12",352,565.54,46,28.21,770,"1,795.05",13,6.32,"1,013","1,507.68",389,544.68,"6,722","10,686.21",469,320.94,71,819.47,9,50.76
KARIMGANJ,87,"2,686","3,316.90",421,395.50,160,112.72,136,170.74,41,11.24,844,"1,455.69",288,440.70,"4,186","3,836.47","1,234",559.64,20,266.43,1,8.89
Kamrup,168,"10,265","26,599.81",409,576.86,547,496.71,331,876.45,16,11.08,"1,575","2,428.04",852,"1,136.98","12,411","16,872.82","1,855","1,243.56",67,"1,002.19",7,96.25
Kamrup Metro,414,"2,395","3,750.50",196,209.64,159,118.82,"1,022","2,979.34",85,71.45,"1,066","2,228.55",399,666.04,"4,192","5,773.83",435,407.97,439,"6,659.69",44,571.10
Karbi Anglong,64,"4,281","7,744.52","1,607","2,969.14",8,4.68,22,34.31,1,1.84,409,514.09,184,177.04,"6,444","9,570.36",531,149.84,26,422.02,3,9.35
Kokrajhar,51,"3,461","3,980.45",260,389.65,88,49.10,77,78.73,11,12.74,"1,719","2,192.57","1,407","1,685.19","3,718","4,514.64",527,474.85,16,386.24,1,20.52
Lakhimpur,88,"7,418","14,812.25",722,"1,066.67",275,137.53,100,105.45,9,2.93,"1,282","2,914.97",526,"1,254.37","8,869","11,706.14","1,009",516.36,52,582.51,12,143.49
Majuli,15,"1,711","3,422.36",118,192.41,30,19.57,0,0,0,0,193,249.66,68,132.41,"1,522","2,237.34",225,103.45,6,42.23,1,2.07
Morigaon,67,"3,924","6,426.26",273,433.03,519,290.35,326,395.55,65,14.25,833,"1,337.11",470,722.53,"6,298","7,119.78","1,935","1,025.23",37,328.00,5,29.26
Nagaon,153,"9,811","19,865.91",551,738.65,382,194.24,241,761.44,9,5.02,"1,749","3,174.08",762,"1,128.86","10,992","16,069.99","1,074",639.49,85,"1,031.97",7,44.88
Nalbari,85,"6,990","12,926.52",164,287.50,180,120.32,242,528.30,15,10.47,"1,112","2,040.52",665,"1,119.72","9,209","14,424.08","1,033",542.48,43,684.10,1,24.96
Sivasagar,96,"4,047","7,658.42",341,353.27,127,49.62,148,208.81,6,6.18,940,"2,214.90",323,590.47,"4,486","6,069.54",347,264.26,66,744.28,5,49.24
Sonitpur,131,"7,105","13,985.19",525,688.09,388,176.45,184,321.77,5,4.18,"1,247","2,395.45",517,871.84,"8,149","11,346.31","1,820",873.51,128,"1,727.04",8,51.79
South Salmara,11,661,657.35,46,30.70,152,52.49,0,0,0,0,479,608.26,411,500.90,"1,102","1,164.57",191,70.57,1,0.64,0,0
Tinsukia,149,"5,681","13,281.49",509,594.12,198,99.74,826,"1,845.04",49,36.15,"1,339","2,513.95",552,884.14,"8,080","10,626.29",613,329.32,115,"1,892.26",1,24.03
Udalguri,49,"3,707","5,810.89",231,414.89,96,92.36,23,19.52,5,3.89,"1,698","2,688.59","1,444","2,264.99","3,972","5,419.87",936,605.79,12,182.56,2,21.27
West Karbi Anglong,21,"1,451","2,064.11",638,860.58,6,10.96,45,96.42,0,0,10,8.96,8,10.04,"2,843","2,832.49",712,198.91,5,69.34,0,0
