District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card Activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total No. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card Activated
Baksa,56,2020,1161.53,18548,12863.13,8840,7485,39,18.46,139,223.85,19,19,10,0.82,18,21.73,11,11
Barpeta,121,10402,6711.51,63460,39499.30,25285,17039,285,153.14,703,725.41,49,49,27,18.43,317,450.89,45,41
Biswanath,55,2477,2208.85,24333,15377.41,10491,8187,59,62.35,279,334.41,19,18,5,5.45,29,109.25,5,3
Bongaigaon,57,1989,1219.41,15174,9819.77,6789,6011,27,24.34,225,260.74,18,9,7,2.99,147,136.36,3,2
Cachar,160,4404,2744.63,45347,25290.43,29219,26448,69,62.90,1557,3584.58,15,15,98,110.63,463,457.21,74,69
Charaideo,35,627,273.66,10540,6703.99,6787,6498,38,80.01,250,335.56,9,9,12,1.94,86,72.58,3,3
Chirang,35,1691,1428.63,17433,11228.84,11032,10115,20,16.27,127,167.03,2,2,1,0,13,59.88,1,1
Darrang,68,4994,2436.65,36299,21577.26,18056,14363,150,178.69,439,504.12,11,8,33,21.44,612,638.23,20,17
Dhemaji,45,3984,4036.59,29607,18044.27,13118,9533,204,70.95,506,525.53,31,31,42,7.10,88,78.31,19,13
Dhubri,86,2258,1605.18,29886,17182.50,14296,11232,42,39.39,543,752.88,20,20,5,2.05,75,335.42,0,0
Dibrugarh,180,11185,11551.91,73457,46304.75,38336,27641,61,21.35,825,1051.10,55,55,14,11.26,151,131.88,2,2
Dima Hasao,29,253,120.67,1716,669.64,847,758,28,29.03,115,78.99,57,50,7,2.73,19,7.59,3,7
Goalpara,67,2463,1707.65,26075,13763.96,15164,13637,13,10.65,394,427.49,5,5,2,1.30,448,351.40,4,4
Golaghat,118,7384,4832.88,62387,32612.21,28043,17530,134,155.20,648,842.59,11,11,6,0.53,49,51.74,4,4
Hailakandi,44,2175,288.71,18353,9977.73,10932,10210,49,14.84,396,479.10,21,21,4,0.46,27,49.13,4,4
Hojai,54,2634,1401.47,21746,12133.54,12767,10496,64,49.43,507,826.11,7,0,21,8.46,57,152.32,0,0
Jorhat,135,5400,3020.72,46541,22542.19,25355,15343,41,25.43,655,828.63,14,13,10,1.62,176,132.41,6,4
Kamrup Metro,168,9091,4570.47,80774,41310.44,39480,30014,100,80.79,692,1001.00,29,29,26,3.12,251,326.68,17,17
Karbi Anglong,64,8125,5103.83,31964,16684.31,6299,5053,84,58.79,187,170.98,2,2,7,0.80,74,56.56,2,1
Karimganj,87,1103,309.40,25244,16778.01,16368,15364,27,60.14,1173,1543.06,8,8,58,42.32,150,321.70,25,25
Kokrajhar,51,2666,2097.00,22522,15959.42,9480,8889,18,14.21,176,193.55,1,1,5,5.73,114,107.14,7,7
Lakhimpur,88,7875,6589.70,64431,38573.48,24940,19997,102,85.43,965,1326.99,15,15,8,1.59,247,366.37,3,3
Majuli,15,331,117.28,4861,2476.77,3291,2662,16,12.61,65,102.69,0,0,13,7.04,100,72.38,10,0
Morigaon,67,4529,2350.03,40030,25835.13,23727,21155,156,125.03,1362,1636.61,143,142,24,16.12,314,361.51,80,80
Nagaon,153,12512,8920.26,100555,52406.27,45821,38141,153,203.48,1659,2236.50,120,119,30,9.77,885,1636.14,97,97
Nalbari,85,5160,2515.34,45483,19574.23,15168,12770,148,110.42,765,696.35,130,92,8,6.64,151,148.75,29,28
Sivasagar,96,3318,1849.82,31092,15455.46,13630,10086,113,83.22,602,634.96,10,9,9,3.69,260,426.28,103,8
Sonitpur,131,5101,3505.44,34513,21457.70,18373,16038,81,113.48,652,839.28,109,71,19,11.14,161,341.94,10,11
South Salmara,11,193,45.30,2122,752.79,601,559,7,10.70,8,10.02,0,0,8,0.48,17,15.38,2,0
Tinsukia,149,10310,10654.67,60039,39706.52,30601,25919,151,187.83,1109,1541.42,71,71,18,24.11,158,205.60,2,2
Udalguri,49,2717,2359.91,31837,20604.10,16159,14532,5,2.82,129,223.42,6,6,1,0,146,149.44,1,1
West Karbi Anglong,21,2063,659.45,10549,4542.29,808,462,12,3.80,12,6.32,0,0,1,0.35,8,0.66,0,0
