District,Total Branch,Current Year Self-Help Group No.,Current Year Self- Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Baksa,56,"2,202","7,128.93","5,163","10,440.59",344,686.12,92,62.71,0 .60
Barpeta,121,"3,172","7,418.63","7,290","13,874.91",411,664.70,481,273.42,1 .97
Biswanath,55,"2,706","6,788.03","6,491","11,444.76",746,902.43,191,206.21,1 .80
Bongaigaon,57,"1,555","3,994.64","3,474","6,290.67",221,273.07,50,29.77,0 .47
Cachar,160,"1,835","4,765.02","4,223","6,100.30",536,679.56,203,89.36,1 .46
Charaideo,35,"1,079","4,355.41","3,001","4,344.32",299,334.89,122,47.12,1 .08
Chirang,35,"1,511","4,661.16","3,583","5,217.31",229,256.88,124,78.90,1 .51
Darrang,68,"2,067","6,313.55","4,752","9,230.87",281,416.27,175,164.37,1 .78
Dhemaji,45,"2,728","6,424.73","5,898","11,698.74",961,986.73,211,83.03,0 .71
Dhubri,86,"2,364","7,861.27","6,220","7,406.67",515,465.14,359,105.82,1 .43
Dibrugarh,180,"3,020","6,705.43","6,294","12,380.63",381,585.70,204,97.18,0 .78
Dima Hasao,29,472,"1,228.33",769,"1,182.19",397,428.44,11,4.96,0 .42
Goalpara,67,"2,422","8,382.40","5,186","7,857.73",503,780.17,279,148.70,1 .89
Golaghat,118,"3,140","8,961.41","7,186","17,623.84",503,707.31,123,97.54,0 .55
Hailakandi,44,933,"2,671.87","2,314","2,975.59",121,118.52,181,80.49,2 .71
Hojai,54,"1,866","3,669.52","3,021","5,576.65",248,286.92,204,124.79,2 .24
Jorhat,135,"1,880","5,075.33","5,196","11,462.12",352,565.54,46,28.21,0 .25
Kamrup Metro,168,"5,097","12,123.82","10,265","26,599.81",409,576.86,547,496.71,1 .87
Karbi Anglong,64,"2,445","7,753.38","4,281","7,744.52","1,607","2,969.14",8,4.68,0 .06
Karimganj,87,"1,076","3,200.81","2,686","3,316.90",421,395.50,160,112.72,3 .40
Kokrajhar,51,"1,582","4,842.71","3,461","3,980.45",260,389.65,88,49.10,1 .23
Lakhimpur,88,"3,253","6,192.16","7,418","14,812.25",722,"1,066.67",275,137.53,0 .93
Majuli,15,693,"2,649.09","1,711","3,422.36",118,192.41,30,19.57,0 .57
Morigaon,67,"1,844","4,430.89","3,924","6,426.26",273,433.03,519,290.35,4 .52
Nagaon,153,"4,313","9,854.61","9,811","19,865.91",551,738.65,382,194.24,0 .98
Nalbari,85,"2,067","5,473.46","6,990","12,926.52",164,287.50,180,120.32,0 .93
Sivasagar,96,"1,402","3,925.25","4,047","7,658.42",341,353.27,127,49.62,0 .65
Sonitpur,131,"3,069","9,172.40","7,105","13,985.19",525,688.09,388,176.45,1 .26
South Salmara,11,112,533.08,661,657.35,46,30.70,152,52.49,7 .99
Tinsukia,149,"2,399","5,438.88","5,681","13,281.49",509,594.12,198,99.74,0 .75
Udalguri,49,"1,390","3,907.18","3,707","5,810.89",231,414.89,96,92.36,1 .59
West Karbi Anglong,21,859,"2,157.88","1,451","2,064.11",638,860.58,6,10.96,0 .53
