District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under PMFBY,Kharif Amount insured under PMFBY,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under PMFBY,Rabi Amount insured under PMFBY,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Baksa,57,"1,976.84",181,37.7,0,0.00,98,160.09,0,0.00
Barpeta,122,"7,398.74",425,103.09,0,0.00,215,110.78,0,0.00
Biswanath,57,"2,871.41",49,33.3,0,0.00,14,23.47,0,0.00
Bongaigaon,59,"2,364.80",182,43.36,0,0.00,30,12.95,0,0.00
Cachar,163,"4,464.45",767,284.76,0,0.00,46,32.09,0,0.00
Charaideo,35,343.08,12,4.15,12,0.10,0,0.00,0,0.00
Chirang,35,"2,372.12",68,15.34,0,0.00,2,0.66,0,0.00
Darrang,69,"3,429.03",114,12.67,0,0.00,88,96.12,0,0.00
Dhemaji,45,"3,993.61",129,39.4,0,0.00,36,31.17,0,0.00
Dhubri,87,"2,666.63",315,12.2,0,0.00,168,31.81,0,0.00
Dibrugarh,182,"13,201.70",365,286.29,0,0.00,0,0.00,0,0.00
Dima Hasao,30,116.25,0,0,0,0.00,1,0.19,0,0.00
Goalpara,69,"2,439.69",123,76.82,0,0.00,161,63.46,0,0.00
Golaghat,120,"5,914.51",77,33.51,0,0.00,0,0.00,0,0.00
Hailakandi,44,"1,022.83",196,39.97,0,0.00,85,4.35,0,0.00
Hojai,57,"1,626.67",78,28.68,0,0.00,2,1.56,0,0.00
Jorhat,132,"4,367.31",211,27.94,0,0.00,8,3.38,0,0.00
Kamrup Metro,172,"10,480.24",254,121.64,0,0.00,46,10.05,0,0.00
Karbi Anglong,64,"5,656.17",472,146.94,0,0.00,33,10.02,0,0.00
Karimganj,88,821.92,37,10.86,0,0.00,4,2.98,0,0.00
Kokrajhar,51,"4,466.36",217,55.09,0,0.00,264,166.85,0,0.00
Lakhimpur,91,"8,181.39","2,770",63.03,0,0.00,593,20.94,0,0.00
Majuli,16,117.44,27,18.34,0,0.00,0,0.00,0,0.00
Morigaon,67,"2,950.77",416,185.86,0,0.00,102,13.92,0,0.00
Nagaon,152,"8,032.15",283,68.13,0,0.00,49,1.18,0,0.00
Nalbari,84,"2,856.90",72,7.78,0,0.00,28,30.46,0,0.00
Sivasagar,97,"2,176.52",60,17.84,28,0.25,0,0.00,0,0.00
Sonitpur,125,"4,499.04",714,137.18,0,0.00,281,43.90,0,0.00
South Salmara,12,192.19,0,0,0,0.00,0,0.00,0,0.00
Tinsukia,148,"11,121.90",45,31.37,2,0.05,2,3.35,0,0.00
Udalguri,49,"3,427.97",51,20.96,0,0.00,1,0.45,0,0.00
West Karbi Anglong,22,997.15,18,6.85,0,0.00,22,9.43,0,0.00
