district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No,Farm Mech Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Baksa,57,865,557.80,0,0.00,50,48.14,366,118.58,30,29.59,13,16.98,0,0.00,0,0.00,875,"1,971.70","2,199","2,742.79"
Barpeta,122,1376,861.00,0,0.00,614,686.58,"6,642","2,240.08",313,258.96,276,158.08,0,0.00,0,0.00,"2,756","5,058.99","11,977","9,263.69"
Biswanath,57,594,692.84,0,0.00,16,20.26,220,82.64,38,37.68,5,6.01,0,0.00,0,0.00,731,"1,851.18","1,604","2,690.61"
Bongaigaon,59,185,109.66,0,0.00,745,514.25,"2,293",611.35,146,147.23,108,46.67,1,0.13,0,0.00,969,"1,419.33","4,447","2,848.62"
Cachar,163,1118,596.42,10,8.84,518,643.99,"1,334",351.27,178,382.86,237,912.00,0,0.00,4,24.00,"2,381","3,140.99","5,780","6,060.37"
Charaideo,35,56,37.29,3,18.00,14,58.03,1,0,38,83.15,0,0,0,0.00,0,0.00,37,87.72,149,284.19
Chirang,35,1903,"1,329.38",1,0.00,7,22.10,2,3,13,13.43,224,65.00,1,2.00,0,0.00,826,"1,490.77","2,977","2,925.68"
Darrang,69,1764,"1,175.16",0,0.00,335,461.82,"2,128",674.64,166,95.35,161,396.45,0,0.00,3,27.00,"1,251","3,499.57","5,808","6,329.99"
Dhemaji,45,547,208.00,0,0.00,41,19.20,"2,763",900.59,127,98.04,11,23.43,0,0.00,0,0.00,"1,145","1,563.58","4,634","2,812.84"
Dhubri,87,421,253.08,1,1.00,59,57.78,"1,922",504.09,128,85.62,84,39.85,1,39.30,1,6.00,"1,361","1,956.07","3,978","2,942.79"
Dibrugarh,182,996,597.81,3,1.98,338,307.49,"3,369",814.33,227,247.71,47,107.37,0,0.00,21,135.14,"2,423","7,191.61","7,424","9,403.44"
Dima Hasao,30,35,21.87,1,0.12,1,1.27,0,0,44,42.90,4,1.06,0,0.00,0,0.00,54,126.10,139,193.32
Goalpara,69,1794,769.96,1,2.00,227,90.26,"1,170",253.64,212,102.16,"1,506",452.04,0,0.00,0,0.00,"1,324","2,787.30","6,234","4,457.36"
Golaghat,120,346,207.32,0,0.00,346,272.68,"3,927","1,062.35",51,153.91,9,13.90,0,0.00,1,6.00,"1,612","4,529.81","6,292","6,245.97"
Hailakandi,44,127,74.34,0,0.00,142,163.26,2,1.00,107,149.95,8,5.07,0,0.00,1,6.00,938,"1,394.20","1,325","1,793.82"
Hojai,57,254,198.06,0,0.00,136,170.16,839,207.74,67,54.67,48,45.85,1,0.50,0,0.00,754,999.58,"2,099","1,676.56"
Jorhat,132,339,187.08,4,3.70,218,267.13,"1,719",513.98,68,129.30,19,16.79,0,0.00,5,27.13,"1,509","5,324.54","3,881","6,469.65"
Kamrup Metro,172,6011,"3,918.53",10,4.47,690,522.25,"7,889","2,360.13",457,527.99,363,206.33,0,0.00,4,16.67,"4,917","8,592.10","20,341","16,148.47"
Karbi Anglong,64,161,92.01,0,0.00,42,38.13,556,173.38,32,30.72,29,24.24,0,0.00,0,0.00,326,"1,316.50","1,146","1,674.98"
Karimganj,88,447,350.13,0,0.00,54,75.67,171,64.99,41,86.27,64,188.78,0,0.00,0,0.00,569,"1,092.82","1,346","1,858.66"
Kokrajhar,51,370,132.94,0,0.00,280,216.20,341,67.07,139,122.38,46,370.66,0,0.00,2,6.82,794,"1,385.35","1,972","2,301.42"
Lakhimpur,91,166,104.91,7,5.86,199,248.07,"4,247","1,198.12",116,271.84,54,73.92,0,0.00,3,18.00,"1,665","2,058.13","6,457","3,978.85"
Majuli,16,21,8.57,0,0.00,0,0,0,0,2,1.30,2,3.00,0,0.00,0,0.00,14,11.71,39,24.58
Morigaon,67,644,415.13,0,0.00,402,815.75,"1,652",628.96,68,112.39,115,271.51,0,0.00,1,6.00,950,"1,315.17","3,832","3,564.91"
Nagaon,152,656,403.77,7,24.50,959,697.11,"8,028","2,062.28",157,153.47,63,250.11,0,0.00,21,144.00,"2,531","2,816.05","12,422","6,551.29"
Nalbari,84,1796,858.57,1,3.50,307,365.10,"5,842","1,689.16",333,212.09,30,32.65,0,0.00,0,0.00,"1,505","2,957.73","9,814","6,118.80"
Sivasagar,97,242,142.87,0,0.00,4298,"1,831.19","2,377",582.96,834,"1,135.18",20,16.34,0,0.00,2,12.05,"1,585","2,458.17","9,358","6,178.76"
Sonitpur,125,2543,"1,956.37",19,15.24,107,88.86,"3,005",803.97,303,254.75,25,22.61,0,0.00,1,0.00,"1,980","4,462.81","7,983","7,604.61"
South Salmara,12,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,5,0.61,5,0.61
Tinsukia,148,1295,848.68,1,0.75,531,639.42,"4,971","1,242.85",165,366.01,15,20.9,0,0.00,4,56.59,"1,508","9,301.44","8,490","12,476.64"
Udalguri,49,1224,652.50,0,0.00,4,8.02,6,2.17,128,103.70,7,38.87,0,0.00,0,0.00,524,"1,272.73","1,893","2,077.99"
West Karbi Anglong,22,2,3.20,0,0.00,5,15.80,0,0,1,2.87,0,0,0,0.00,0,0.00,26,57.01,34,78.88
