district,Total Branch,Agri NPS No.,Agri NPS Amt.,Education NPS No.,Education NPS Amt.,Housing NPS No.,Housing NPS Amt.,Personal Loan No.,Personal Loan Amt.,Other NPS No.,Other NPS Amt.,Tot NPS O/S No.,Tot NPS O/S Amt.,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.,NPS NPA Amt.%
Baksa,57,17,45.98,1,20.06,530,"2,605.05","2,848","4,880.72","10,894","37,206.99","14,290","44,758.80","1,160","1,221.63",2 .73
Barpeta,122,127,342.23,14,173.01,"2,427","15,463.55","9,732","19,277.80","61,218","1,58,640.36","73,518","1,93,896.95","5,628","4,485.75",2 .31
Biswanath,57,15,166.57,0,20.35,919,"5,305.26","2,594","4,579.71","17,544","37,958.27","21,072","48,030.16","1,580","1,124.52",2 .34
Bongaigaon,59,71,167.30,4,148.21,"2,074","18,036.57","6,563","13,792.77","33,777","1,01,309.41","42,489","1,33,454.26","3,092","2,176.93",1 .63
Cachar,163,65,387.69,5,155.46,"2,708","21,843.49","11,762","22,827.98","1,00,509","2,03,486.95","1,15,049","2,48,701.57","15,142","11,363.49",4 .57
Charaideo,35,2,0.90,1,31.26,335,"2,324.21","1,386","2,461.33","7,857","26,141.09","9,581","30,958.79","1,088",462.52,1 .49
Chirang,35,307,1003.07,0,11.56,589,"3,217.58","1,823","3,119.09","10,394","33,520.55","13,113","40,871.85","1,340",977.90,2 .39
Darrang,69,79,108.92,3,55.48,"1,639","11,634.62","5,333","9,904.43","31,823","72,576.73","38,877","94,280.18","3,327","2,612.73",2 .77
Dhemaji,45,35,30.89,2,38.22,"1,667","6,136.55","4,574","10,945.19","20,364","65,808.33","26,642","82,959.18",832,928.62,1 .12
Dhubri,87,287,833.85,2,28.68,"1,618","7,122.21","5,557","8,238.58","44,043","98,451.51","51,507","1,14,674.83","8,018","5,996.50",5 .23
Dibrugarh,182,113,356.55,51,660.08,"4,988","46,540.93","18,150","44,074.26","85,278","2,31,386.12","1,08,580","3,23,017.94","4,299","3,596.89",1 .11
Dima Hasao,30,2,4.03,0,0.00,173,"1,242.08","2,848","9,069.62","7,211","27,235.78","10,234","37,551.51",308,354.54,0 .94
Goalpara,69,64,59.17,2,51.79,893,"3,793.98","4,112","7,221.54","25,562","68,180.01","30,633","79,306.49","2,667","2,043.91",2 .58
Golaghat,120,48,80.69,11,162.29,"2,503","15,629.29","7,385","16,345.03","46,084","1,28,834.03","56,031","1,61,051.33","2,435","1,554.84",0 .97
Hailakandi,44,366,867.05,0,3.36,645,"2,539.20","2,457","4,999.87","17,189","38,568.90","20,657","46,978.38","3,008","2,011.51",4 .28
Hojai,57,100,59.32,7,47.03,784,"4,546.62","3,788","7,036.88","23,974","53,940.53","28,653","65,630.38","2,442","1,726.56",2 .63
Jorhat,132,29,108.44,35,841.92,"6,341","48,220.07","12,354","26,539.10","69,899","1,85,978.63","88,658","2,61,688.16","3,811","5,037.28",1 .92
Kamrup Metro,172,52,315.03,9,315.64,"3,392","34,228.17","17,653","47,557.65","91,754","2,19,428.52","1,12,860","3,01,845.01","10,270","8,964.68",2 .97
Karbi Anglong,64,32,18.22,0,0.00,803,"5,176.91","6,074","20,797.70","19,763","72,254.82","26,672","98,247.65",782,926.20,0 .94
Karimganj,88,2,2.53,5,40.14,498,"4,402.39","4,104","8,890.74","34,143","57,187.54","38,752","70,523.34","7,235","6,093.69",8 .64
Kokrajhar,51,769,2619.87,1,25.55,"1,049","10,529.32","4,416","9,976.88","27,931","84,173.01","34,166","1,07,324.63","2,372","2,018.34",1 .88
Lakhimpur,91,32,96.44,16,159.45,"2,134","14,753.29","8,180","20,054.62","40,482","1,03,987.59","50,844","1,39,051.39","2,869","2,321.84",1 .67
Majuli,16,4,26.61,0,0.00,128,397.70,"1,539","4,977.81","2,094","8,930.74","3,765","14,332.86",195,290.55,2 .03
Morigaon,67,110,108.98,5,84.48,577,"4,287.74","4,519","13,092.32","18,928","45,286.17","24,139","62,859.69","2,604","2,448.49",3 .90
Nagaon,152,379,313.17,22,218.80,"2,996","18,987.09","9,642","21,660.72","77,386","1,96,252.03","90,425","2,37,431.81","8,684","6,348.88",2 .67
Nalbari,84,40,88.43,3,109.29,"2,617","16,870.96","6,673","15,634.39","36,640","1,00,522.06","45,973","1,33,225.13","3,936","3,666.30",2 .75
Sivasagar,97,58,109.35,12,190.13,"2,816","21,482.42","9,149","23,218.99","60,054","1,55,692.14","72,089","2,00,693.03","3,207","2,101.45",1 .05
Sonitpur,125,17,41.22,15,423.99,"4,027","37,581.30","11,900","24,089.56","62,086","1,65,442.41","78,045","2,27,578.48","4,406","3,222.26",1 .42
South Salmara,12,2,1.75,0,0.00,259,234.75,610,625.88,"2,074","8,763.24","2,945","9,625.62",234,259.87,2 .70
Tinsukia,148,77,476.27,40,270.79,"2,885","28,510.35","10,440","23,944.17","54,297","1,64,447.61","67,739","2,17,649.19","4,158","3,047.82",1 .40
Udalguri,49,63,148.18,2,34.71,"1,815","2,649.64","2,319","2,952.98","13,727","50,767.12","17,926","56,552.63","1,284",995.28,1 .76
West Karbi Anglong,22,2,3.55,4,16.57,87,150.50,"1,174","3,996.74","2,951","11,706.72","4,218","15,874.08",175,174.82,1 .10
