District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,57,2175,1408.96,4,3.64,222,299.72,1108,273.68,60,73.51,26,60.39,0,0,0,0,2060,3416.56,5655,5536.46
Barpeta,124,3322,2182.01,188,88.75,1338,1482.96,14767,4216.67,342,439.92,214,338.87,3,56.5,0,0,6162,7364.45,26336,16170.13
Bongaigaon,61,464,222.16,55,32.52,803,606.78,4201,846.01,170,188.59,13,14.50,2,125.98,0,0,1887,2007.13,7595,4043.67
Cachar,163,4088,2074.90,486,250.25,1144,1549.36,2946,562.92,427,849.85,333,508.59,8,58.66,4,2.8,4477,5861.44,13913,11718.77
Charaideo,36,265,224.55,1,2.20,42,63.02,24,25.21,119,143.93,5,10.06,1,0.65,0,0,711,748.88,1168,1218.50
Chirang,36,5203,3451.56,2,1.34,209,210.43,2,2.80,23,23.73,22,14.45,0,0,0,0,1496,2184.39,6957,5888.70
Darrang,68,3591,2336.42,16,11.35,839,1405.01,6237,1512.52,144,162.86,176,474.58,1,28.29,1,14.65,4430,4627.21,15435,10572.89
Dhemaji,46,869,556.85,1,0.28,127,258.45,6015,1312.62,175,164.47,27,57.50,0,0,0,0,2087,2244.91,9301,4595.08
Dhubri,88,932,716.79,12,7.68,363,246.08,1934,435.37,173,145.11,11,15.16,0,0,7,5.71,2046,2598.46,5478,4170.36
Dibrugarh,183,9288,5631.46,337,319.78,726,821.43,7899,1530.82,425,473.64,91,141.87,2,3.64,21,32.23,5795,10634.88,24584,19589.75
Dima Hasao,30,53,29.71,0,0,19,12.94,4,5.18,153,93.28,7,3.06,0,0,0,0,141,167.15,377,311.32
Goalpara,72,3916,1812.07,26,15.15,246,244.35,1384,147.67,216,169.79,42,42.60,6,0.95,0,0,2587,4644.47,8423,7077.05
Golaghat,122,3884,1875.01,17,35.37,661,302.48,8450,1527.87,133,267.08,38,44.20,3,461.1,0,0,6145,7275.41,19331,11788.52
Hailakandi,45,836,459.12,0,0,470,574.87,25,34.74,218,310.28,33,37.12,0,0,1,0.92,1246,1917.53,2829,3334.58
Jorhat,134,3355,1634.04,62,20.54,846,834.38,3991,886.30,165,287.95,57,58.92,1,0.54,2,4.91,3576,8098.17,12055,11825.75
Kamrup Metro,175,12462,7439.66,165,97.65,1042,967.67,17188,3585.72,708,1249.24,141,217.19,2,14.25,3,1.07,7726,11874.40,39437,25446.85
Karbi Anglong,65,2774,827.35,0,0,426,223.37,1491,306.83,47,64.65,34,32.37,0,0,0,0,827,1508.18,5599,2962.75
Karimganj,89,1261,819.18,5,2.31,502,723.64,458,158.82,110,180.47,276,431.68,0,0,0,0,1728,2167.23,4340,4483.33
Kokrajhar,53,505,328.68,0,0,455,400.42,626,96.55,159,198.03,37,266.50,0,0,1,8.61,1173,1918.50,2956,3217.29
Lakhimpur,93,578,368.03,52,33.67,493,592.18,8948,1677.04,291,590.11,134,217.38,1,3.2,3,3.86,4056,3337.42,14556,6822.89
Majuli,16,36,23.89,0,0,9,11.29,27,43.71,8,9.23,6,5.79,0,0,0,0,131,133.30,217,227.21
Morigaon,67,1403,1137.87,325,145,986,1328.46,3931,1398.45,284,339.50,277,617.53,1,14.03,1,5.65,3233,3688.53,10441,8675.02
Nagaon,210,8847,3780.16,27,37.48,2547,2096.29,20975,4530.25,425,536.17,285,557.40,0,0,21,24.91,11505,7618.88,44632,19181.54
Nalbari,87,3893,1834.54,24,15.28,853,809.01,13302,2999.86,490,367.55,165,149.69,2,10.4,2,1.19,4185,4791.82,22916,10979.34
Sivasagar,105,1176,701.76,48,12.77,7240,771.85,5221,1033.71,1117,1428.81,48,28.96,0,0,2,6.04,4433,4750.96,19285,8734.86
Sonitpur,185,6549,4928.71,219,169.25,387,514.60,8269,1874.97,552,626.03,97,184.40,0,0,3,14.79,5377,9570.54,21453,17883.29
South Salmara,12,0,0,0,0,2,5.57,1,0.90,2,6.92,1,2.18,0,0,0,0,48,135.78,54,151.35
Tinsukia,149,6813,3639.10,152,74.58,999,1469.74,11007,1819.85,371,768.84,78,71.30,0,0,5,61.04,3258,13465.84,22683,21370.29
Udalguri,49,3936,2009.58,3,1.3,136,227.85,75,50.55,203,227.04,66,57.64,1,0.2,2,2.28,1597,2579.69,6019,5156.13
West Karbi Anglong,22,4,5.97,0,0,100,42.40,0,0,1,3.79,6,1.38,0,0,0,0,52,76.71,163,130.25
