District,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Pct
Baksa,57,1300,1153.45,5834,10170.86,190,460.47,107,81.20,0.80
Barpeta,124,3426,1551.90,8840,13173.22,312,568.68,429,253.55,1.92
Bongaigaon,61,194,623.10,4368,7232.02,198,344.30,47,29.23,0.40
Cachar,163,1138,1066.37,5210,7043.09,436,667.11,195,88.75,1.26
Charaideo,36,263,813.20,3518,5287.66,214,255.26,89,28.53,0.54
Chirang,36,249,718.85,4088,6438.21,252,290.32,127,56.52,0.88
Darrang,68,1060,827.00,5730,9187.27,237,313.37,155,142.07,1.55
Dhemaji,46,1398,1638.06,6748,11582.85,541,586.87,189,75.33,0.65
Dhubri,88,484,1206.87,7404,10072.71,456,442.22,358,103.64,1.03
Dibrugarh,183,1806,1509.56,7421,11904.92,450,716.50,217,109.58,0.92
Dima Hasao,30,52,159.00,842,1290.89,401,385.88,6,3.06,0.24
Goalpara,72,1217,1031.24,5731,8394.08,435,741.18,217,123.42,1.47
Golaghat,122,1889,1638.50,8862,16673.66,658,880.49,113,73.50,0.44
Hailakandi,45,140,358.22,2691,3778.08,171,151.08,119,56.36,1.49
Jorhat,134,1320,1349.43,7469,14723.20,382,773.44,41,27.91,0.19
Kamrup Metro,175,4150,2120.72,10662,18219.45,464,574.54,547,467.33,2.57
Karbi Anglong,65,395,1015.00,5217,10475.88,1817,3750.15,15,24.19,0.23
Karimganj,89,254,544.88,3006,4155.70,312,459.51,132,96.19,2.31
Kokrajhar,53,279,728.76,4183,5276.77,424,588.48,78,46.80,0.89
Lakhimpur,93,2547,1752.76,8727,13268.77,560,912.28,255,105.99,0.80
Majuli,16,71,272.49,1859,3213.41,128,196.65,24,16.86,0.52
Morigaon,67,956,625.68,4573,6620.98,202,328.02,489,281.07,4.25
Nagaon,210,4362,3089.35,16271,24579.08,869,965.56,487,255.22,1.04
Nalbari,87,1667,1724.32,7286,12370.06,98,165.85,174,117.34,0.95
Sivasagar,105,963,737.12,4660,7176.35,361,394.14,100,38.87,0.54
Sonitpur,185,3788,3386.02,15360,27321.47,1119,1436.28,515,322.21,2.41
South Salmara,12,32,74.00,750,931.16,24,17.14,141,29.49,3.17
Tinsukia,149,2056,1560.00,6727,11332.67,330,438.62,180,88.60,0.78
Udalguri,49,1228,815.63,4375,7430.95,233,400.91,92,120.46,1.62
West Karbi Anglong,22,218,512.88,1765,2936.18,780,1181.33,0,0.00,0.00
